Symbol	logFC	P.Value
SNORD114-3	2.591413172	9.77E-08
ZMAT1	2.348465353	9.87E-08
UBE3C	1.873475224	9.87E-08
C7orf23	1.55543335	1.00E-07
KIAA1600	2.47904252	1.00E-07
IQGAP2	2.293080363	1.03E-07
COPS8	2.503755753	1.03E-07
SFRS5	1.971978562	1.05E-07
BARD1	-1.138523468	1.05E-07
MKI67IP	1.846953972	1.07E-07
ZNF141	2.064901931	1.08E-07
P4HA1	1.829654049	1.09E-07
NCOR2	1.845832019	1.10E-07
CFI	2.365700077	1.15E-07
SEC24B	1.928552221	1.15E-07
POGZ	1.506056234	1.17E-07
PPIL5	2.235695033	1.17E-07
AHR	1.432813094	1.21E-07
CLEC3B	2.456871624	1.23E-07
DNAJB14	1.831608383	1.26E-07
CCNG1	2.6483916	1.26E-07
GCC1	2.154361434	1.28E-07
FAM91A1	2.113188908	1.28E-07
C10orf84	-2.455492056	1.30E-07
CYSLTR1	2.724640669	1.30E-07
HEMGN	2.176900188	1.32E-07
SRP14	2.411026421	1.32E-07
VPS24	2.946390908	1.36E-07
SOCS2	1.31095286	1.36E-07
SMAD5	2.169176715	1.36E-07
CCNE1	-1.42558521	1.37E-07
TECR	-1.110361996	1.39E-07
PSMA2	2.705394625	1.40E-07
USP16	1.976526816	1.45E-07
SNX16	2.609985369	1.45E-07
C7orf46	1.73332848	1.50E-07
LEF1	-3.069406149	1.50E-07
ST3GAL5	1.513777076	1.52E-07
PRKACB	2.048330831	1.53E-07
TSEN15	2.19346509	1.54E-07
VAPA	1.861531303	1.55E-07
ALDH5A1	2.277101162	1.56E-07
GSTA4	2.226007559	1.56E-07
CES8	2.267740546	1.60E-07
RABGEF1	2.203167433	1.60E-07
SLC16A3	2.375538102	1.62E-07
NIPBL	2.744032293	1.63E-07
PKN2	1.942238174	1.68E-07
SKA2	2.023151069	1.68E-07
SNORD11	2.701904409	1.71E-07
KCNK17	2.068072071	1.72E-07
ZNF281	2.051549636	1.74E-07
CEP57	1.915860604	1.76E-07
ABT1	1.720885211	1.79E-07
ASH1L	2.415843421	1.80E-07
LOC100190986	1.073391958	1.82E-07
CDC16	2.238114418	1.85E-07
FBXW11	2.214988414	1.87E-07
C6orf173	-0.943950518	1.88E-07
PRKACB	2.61301041	1.89E-07
SNORA2A	1.847064421	1.90E-07
ETV3	1.519548507	1.93E-07
CDC14A	2.415482757	1.93E-07
HNRPK	2.341759444	1.95E-07
GPD2	1.778375115	1.96E-07
MST4	2.104496278	1.99E-07
DDX59	2.162610575	2.01E-07
NBEA	2.249510396	2.03E-07
RORA	2.77182728	2.03E-07
STEAP3	-2.372817165	2.06E-07
MTMR2	2.295993977	2.06E-07
MGC21881	1.375595708	2.09E-07
SEC62	1.756600314	2.10E-07
ZMYM5	1.715306173	2.14E-07
HIST1H2BD	2.909347531	2.15E-07
PPM2C	1.996730593	2.21E-07
PLEKHA1	1.769819129	2.23E-07
RNF19B	1.844216651	2.27E-07
TBC1D9B	1.97326931	2.27E-07
OFD1	1.81652763	2.28E-07
PPP4R1	2.039613541	2.32E-07
VPS36	1.42957004	2.33E-07
TROVE2	2.848900373	2.38E-07
SPI1	2.192249768	2.40E-07
KCNH2	-3.827473531	2.40E-07
TRAF6	2.150451786	2.48E-07
SEC24A	1.717888212	2.52E-07
TIAF1	2.39618237	2.59E-07
TINP1	2.051366765	2.60E-07
TNFRSF10B	1.428222834	2.63E-07
UBE2N	2.703990892	2.63E-07
ITPKA	-1.958926857	2.64E-07
MTPN	2.326510264	2.65E-07
CDC37L1	2.374142546	2.70E-07
IDI1	2.213495663	2.73E-07
RNF8	2.227849247	2.83E-07
HNRPH1	2.246772599	2.83E-07
BFAR	1.877853113	2.85E-07
NCK2	1.776392793	2.87E-07
LRRC8C	2.691372552	2.92E-07
ARL4A	2.479737733	2.94E-07
CD79B	0.949290638	2.98E-07
SKA2	1.320172448	2.99E-07
SNORD33	1.011008212	3.02E-07
FAM119A	2.1674084	3.02E-07
USP44	2.652099182	3.05E-07
ZNF233	2.364625244	3.06E-07
SNORD4A	1.550448639	3.11E-07
RRAS2	1.963799455	3.12E-07
IFNGR2	0.783760138	3.13E-07
ZNF321	2.330586449	3.14E-07
KIAA0090	1.66416609	3.17E-07
SNORA14A	2.241641744	3.19E-07
HTATIP2	2.166712034	3.26E-07
DYNLRB1	2.092006552	3.26E-07
C9orf36	1.833880107	3.31E-07
ARID2	2.340857852	3.33E-07
DSE	2.016522156	3.37E-07
ZNF322A	2.551239821	3.39E-07
SFRS10	2.262171784	3.42E-07
CALM1	2.240151135	3.43E-07
PHLDB1	2.35772501	3.45E-07
ZNF189	2.309132877	3.46E-07
NLRX1	1.54439703	3.57E-07
FAM107B	1.750561694	3.57E-07
MYST4	2.319392767	3.64E-07
SPOP	1.705052805	3.64E-07
CGRRF1	1.551013591	3.69E-07
C2orf49	2.350654597	3.69E-07
PPP2CA	2.480923474	3.70E-07
SFRS11	2.554549316	3.73E-07
C17orf63	1.49330862	3.77E-07
PGRMC2	2.304943821	3.77E-07
TUBG1	-1.54953068	3.81E-07
TOPORS	1.31862355	3.81E-07
SPAST	1.602222208	3.91E-07
SNORD77	1.410571838	3.92E-07
ING3	2.235265329	3.96E-07
TNFRSF10A	1.910839237	3.97E-07
MYO18A	1.961139837	4.06E-07
TFB2M	1.574348636	4.07E-07
RBBP6	1.849247439	4.13E-07
TP53INP1	1.63476274	4.15E-07
SNORD95	1.362838182	4.16E-07
KIAA1267	0.69770044	4.20E-07
FRMPD2	-4.26738285	4.27E-07
SNX7	1.904087625	4.27E-07
C1D	2.365042737	4.42E-07
SNORD30	1.054145772	4.43E-07
SP110	1.290589624	4.47E-07
NUMB	2.022085553	4.47E-07
GNAI3	1.935612448	4.52E-07
CD83	1.879895841	4.53E-07
PHKB	-1.338589404	4.61E-07
AGTPBP1	1.726221136	4.63E-07
DYRK3	2.38217318	4.65E-07
MRPL47	2.052328952	4.71E-07
COQ10B	1.49671389	4.81E-07
TCEAL1	2.313689413	4.82E-07
CSTF2T	2.656762233	4.93E-07
TSPYL2	2.012978847	4.94E-07
ATP11B	2.541584587	5.00E-07
KLHL12	2.055010302	5.04E-07
ZNF420	2.049235053	5.16E-07
GOLGA8B	1.150010968	5.15E-07
FNBP1L	2.199036703	5.27E-07
PDE10A	2.493600039	5.28E-07
BMPR2	1.483601143	5.31E-07
SUOX	2.187122572	5.33E-07
C7orf11	2.451489427	5.39E-07
IFRD1	2.255224405	5.41E-07
SLC30A5	1.890549892	5.46E-07
ZNF711	2.21412383	5.46E-07
NCOA1	1.99786673	5.51E-07
HDGFRP3	1.028234404	5.53E-07
NAP1L1	2.434978043	5.57E-07
DGKD	1.348356042	5.56E-07
AZIN1	1.974290678	5.66E-07
AKAP9	1.557356132	5.72E-07
SLC44A2	1.219143258	5.78E-07
DCAF6	2.306965144	5.79E-07
LEMD3	2.099486267	5.85E-07
TMEM189	1.862429857	5.84E-07
SPAG7	-0.62642844	5.88E-07
SLC7A5P1	-1.698186646	5.91E-07
FAM122B	2.052554187	5.98E-07
CCDC91	2.556026857	5.99E-07
TWSG1	1.890701501	6.15E-07
NPTN	1.2737521	6.17E-07
TIAL1	1.819579417	6.20E-07
NHP2L1	-0.69637577	6.21E-07
NDUFB7	-0.650648978	6.29E-07
PPA2	2.430826812	6.30E-07
TOR1AIP1	1.945674881	6.36E-07
DDX6	1.915387292	6.37E-07
MORC3	1.579311923	6.42E-07
EED	1.980080085	6.44E-07
ALDH4A1	-1.942729858	6.49E-07
APP	1.74116347	6.50E-07
SKAP2	2.763080402	6.63E-07
C14orf85	0.962707954	6.63E-07
UBE2F	0.859382922	6.76E-07
SPCS3	2.247936521	6.79E-07
ZFP90	1.910009457	6.83E-07
C14orf135	2.229000055	6.85E-07
SC5DL	2.32848845	6.92E-07
BCL2L12	-2.26069358	6.93E-07
PCNXL2	1.89703672	6.97E-07
UBE4A	1.922064852	6.98E-07
TSPAN6	2.004312979	7.04E-07
IMPA1	1.630026937	7.09E-07
SNORA14B	1.545154327	7.17E-07
SON	2.088083703	7.20E-07
MAP1LC3A	1.859494781	7.24E-07
SMARCD3	2.257235827	7.24E-07
MPZL2	2.206743759	7.40E-07
HMGN1	1.813644204	7.47E-07
MYO19	-1.478926388	7.61E-07
CHRM2	0.92492989	7.61E-07
KTELC1	1.213070031	7.86E-07
ECHS1	-0.59391468	7.87E-07
PURA	1.965794743	7.94E-07
DCTN4	2.321883723	7.92E-07
ANXA11	1.245175488	8.05E-07
SLAIN2	1.695167976	8.08E-07
RPS27L	1.00247834	8.11E-07
ABCA5	2.03814859	8.15E-07
HOXB2	1.495941661	8.33E-07
TSPAN6	2.140353161	8.33E-07
BCKDHB	2.092392044	8.46E-07
SFRS12	1.65207607	8.50E-07
KPNA2	2.391422288	8.64E-07
XBP1	2.570525396	8.64E-07
ERCC5	1.150226024	8.72E-07
MCF2L	2.492380692	8.72E-07
ARL6IP5	1.431284882	8.91E-07
CSGALNACT1	2.097422173	8.91E-07
TMEM45A	1.696298393	9.07E-07
HNRPUL1	1.068511212	9.06E-07
PEA15	1.1876162	9.22E-07
HSP90B1	2.333261208	9.21E-07
ASPH	1.459709699	9.30E-07
C1orf103	2.222648371	9.32E-07
IKBIP	1.695968872	9.46E-07
SFRS2IP	2.390118879	9.47E-07
GPR126	2.306658191	9.65E-07
NCOA1	1.842776517	9.69E-07
DUS3L	-0.727340728	9.82E-07
PPT1	2.036619824	9.86E-07
ALG13	2.080011534	9.97E-07
GPRASP2	2.19638336	1.00E-06
THYN1	1.785319681	1.02E-06
BRD7	1.939145783	1.03E-06
FAM117B	1.743688084	1.04E-06
ZFC3H1	1.662050024	1.04E-06
NTRK1	-4.144525229	1.06E-06
SP140L	1.262623955	1.07E-06
ACVR2B	2.059931071	1.09E-06
CALCOCO1	1.663606106	1.09E-06
ARRDC3	1.1650425	1.10E-06
dJ341D10.1	1.841586196	1.10E-06
SNORA27	2.505635832	1.12E-06
CASP4	1.706391386	1.13E-06
PPP4R1	1.900010343	1.15E-06
ZNF91	1.898198629	1.15E-06
NAAA	0.855039972	1.17E-06
ZNF146	2.171918976	1.17E-06
RHBDF1	2.396444228	1.18E-06
CHD3	2.128223441	1.19E-06
SPAG16	2.442079275	1.19E-06
ATP2B1	2.099403269	1.19E-06
DDX19B	2.240996127	1.20E-06
ZNF681	2.126668926	1.21E-06
RIF1	2.048953579	1.22E-06
SNORD5	1.531338063	1.22E-06
C6orf72	1.990466343	1.23E-06
NTRK1	-5.508790637	1.23E-06
SNORD35B	1.353436158	1.26E-06
TTRAP	2.379111073	1.26E-06
ATPIF1	1.836087661	1.27E-06
FADS2	-1.356009608	1.27E-06
TTC32	1.672370372	1.28E-06
PPP3CA	2.031080012	1.29E-06
ARPP19	1.859807386	1.30E-06
HLA-DRB3	0.973789128	1.31E-06
CUEDC1	1.257440446	1.32E-06
LMO2	2.297759248	1.32E-06
HCFC1R1	2.101043558	1.33E-06
ANKRD28	2.063169085	1.34E-06
NKRF	1.692431147	1.34E-06
VAMP2	1.691486874	1.34E-06
ERC1	1.765006667	1.35E-06
TCF12	1.296052358	1.35E-06
SUMF2	2.098393493	1.37E-06
TOP1	1.62046341	1.37E-06
SYF2	2.350365111	1.39E-06
C1GALT1	1.809353327	1.40E-06
DFFA	1.278208458	1.41E-06
RPS6KA2	2.584718394	1.42E-06
PTP4A1	2.611006617	1.43E-06
MVK	-1.082912464	1.43E-06
SLC38A1	1.153650228	1.44E-06
SNURF	2.050121978	1.44E-06
WSB2	1.780065508	1.45E-06
RBL2	2.055382843	1.45E-06
SNRPG	0.949718976	1.46E-06
SUV420H1	1.425805644	1.46E-06
FBXO11	1.84580772	1.48E-06
CDH26	2.007622152	1.48E-06
FLJ20920	1.629929078	1.50E-06
STAT1	1.27788902	1.50E-06
RNF24	1.243517344	1.51E-06
SAE1	-0.62013568	1.52E-06
ADPRHL2	1.676094258	1.54E-06
TFR2	-2.827737411	1.54E-06
SPG21	1.480837636	1.55E-06
IK	2.165266324	1.55E-06
HNRPDL	1.996404459	1.56E-06
POT1	1.912650133	1.57E-06
STYK1	2.809787069	1.58E-06
NT5C2	1.931724263	1.58E-06
ANK3	2.488593381	1.59E-06
C5orf35	2.19300491	1.59E-06
LST1	2.356768127	1.62E-06
HNRNPA2B1	1.418287998	1.63E-06
SRGAP2	-2.023582499	1.64E-06
PTPRC	2.224156161	1.65E-06
TANC1	1.945709491	1.66E-06
COL8A1	2.048648381	1.67E-06
HIST2H3C	-3.263493907	1.69E-06
ANKS6	1.776453878	1.70E-06
BECN1	1.639598834	1.72E-06
MFSD2	-2.85870146	1.72E-06
HNRPH3	2.404410221	1.74E-06
AASS	1.697421463	1.76E-06
SON	2.049697017	1.79E-06
KAT5	1.983533453	1.79E-06
ZDHHC23	1.503240162	1.81E-06
C6orf48	1.072662832	1.83E-06
LOC440348	1.473862942	1.85E-06
SDCCAG3	-1.719442098	1.85E-06
CHSY1	1.424604908	1.89E-06
INTS2	1.940956257	1.90E-06
SMARCA2	2.19318383	1.93E-06
KRIT1	1.915754132	1.94E-06
NBPF15	1.940498002	1.95E-06
VPREB1	-2.181919111	1.95E-06
LIPA	1.996180689	1.97E-06
KRI1	-1.373627026	1.97E-06
MBD2	2.223013073	2.00E-06
GIMAP7	3.049895871	2.00E-06
R3HDM1	2.069840725	2.02E-06
IPO9	1.258689902	2.03E-06
MAP3K7IP2	1.959372032	2.06E-06
NBN	1.966846291	2.06E-06
SLC12A2	1.861364261	2.09E-06
DUT	-2.122546468	2.09E-06
SNRNP27	1.407961451	2.12E-06
CKAP5	-0.61549399	2.12E-06
BRWD1	1.832720024	2.14E-06
SP3	2.737892448	2.15E-06
DCUN1D4	1.400403805	2.17E-06
GABARAPL1	1.275687776	2.18E-06
STARD10	2.431080625	2.19E-06
NRIP3	1.446632111	2.19E-06
C1QTNF6	1.25262975	2.22E-06
HMGB1	2.210370426	2.23E-06
ZNF227	1.907363066	2.28E-06
GPS2	1.441476665	2.28E-06
GLB1	1.850281775	2.29E-06
RBBP6	2.23016206	2.29E-06
N4BP2L2	1.684277174	2.31E-06
DCTPP1	-0.683844532	2.31E-06
MYL12A	1.084308856	2.33E-06
ABCF3	-1.109762576	2.33E-06
HNRNPA1	-1.309869926	2.37E-06
ZNF610	2.344110474	2.38E-06
C14orf181	2.332710993	2.40E-06
MRPL12	-0.627321844	2.40E-06
HJURP	-3.919608438	2.45E-06
C14orf11	1.881184626	2.45E-06
ACBD7	1.80436712	2.47E-06
L3MBTL3	1.66621002	2.50E-06
SNUPN	-1.01861044	2.53E-06
DDX54	-2.160595204	2.54E-06
NCRNA00081	2.204515075	2.55E-06
ACAD10	2.197866004	2.55E-06
EFCAB7	2.03328245	2.58E-06
CD58	2.155952678	2.59E-06
SLC25A46	2.286925787	2.60E-06
CENTB2	2.345745088	2.61E-06
PCYOX1L	1.853617569	2.64E-06
SOCS4	1.693710835	2.64E-06
UBE4B	1.320810487	2.65E-06
IWS1	2.003104696	2.66E-06
RBBP6	1.990408251	2.68E-06
CDC20	-2.014844164	2.70E-06
SP4	2.0040875	2.72E-06
TSC1	1.347163348	2.72E-06
BUB3	1.979289308	2.75E-06
GMPR2	1.461012994	2.75E-06
RP5-1022P6.2	1.080246798	2.80E-06
DSTYK	1.332883595	2.81E-06
STIP1	-0.622228596	2.82E-06
ZNF629	1.745071045	2.83E-06
AKT3	1.79045969	2.84E-06
SNRPF	-0.595581032	2.85E-06
C17orf91	2.52990367	2.88E-06
SFRS14	1.360586598	2.89E-06
TAC3	-3.178324219	2.93E-06
DEF8	1.702893353	2.94E-06
MFF	2.27650426	2.97E-06
MMADHC	2.004542952	2.97E-06
ZNF302	2.096524929	3.03E-06
SDHD	2.275500989	3.06E-06
AP1G2	1.648982458	3.10E-06
MCM3APAS	2.145012928	3.11E-06
FAM117B	1.878742209	3.14E-06
RPSA	2.364562618	3.15E-06
FAM178B	-3.967496975	3.17E-06
EIF4E3	2.138484859	3.18E-06
RNU4-1	0.811273046	3.20E-06
P2RX5	-3.4746662	3.23E-06
ARL5A	1.779171982	3.27E-06
FSD1	-1.763251719	3.26E-06
GALNT10	-2.936763262	3.28E-06
FAM13A	1.145386556	3.29E-06
COPS8	1.873058265	3.34E-06
KHDRBS3	-0.71618308	3.34E-06
ATF7IP2	1.347735033	3.38E-06
FBXO11	1.621754257	3.39E-06
SNORD100	0.57480389	3.41E-06
SMG1	1.455196438	3.42E-06
C12orf35	2.12767236	3.46E-06
RNF160	2.261562488	3.46E-06
ELP4	-1.873533848	3.54E-06
NDRG1	1.469295011	3.56E-06
BMS1P5	0.97529693	3.62E-06
PTGER4	2.186686235	3.62E-06
S100PBP	1.11399486	3.68E-06
AGPS	1.671821771	3.71E-06
TRIM65	-1.237503646	3.75E-06
ANAPC13	1.878054627	3.75E-06
FOXN3	1.02847497	3.80E-06
PHF20L1	1.468464913	3.82E-06
ATP9B	-1.3371347	3.87E-06
FCHO2	2.316264076	3.86E-06
SACM1L	1.997998739	3.87E-06
RGS2	2.236804296	3.86E-06
LDHA	1.990321153	3.90E-06
DPH2	-2.041447339	3.91E-06
NSUN5C	-1.219418218	3.93E-06
SUZ12	1.526965172	3.95E-06
MTP18	-1.475748402	4.00E-06
ZFP36L1	2.010877656	4.03E-06
INSIG2	2.060317396	4.06E-06
SLC30A5	1.335416183	4.08E-06
SERPINB8	-1.962126324	4.14E-06
CLK1	1.798022152	4.15E-06
CNRIP1	-3.769282735	4.21E-06
CRK	1.144158709	4.22E-06
TMEM126B	1.01896966	4.25E-06
TLK1	1.79243414	4.27E-06
INTS7	1.877025989	4.32E-06
HTATSF1	2.32859717	4.33E-06
COG5	1.821684992	4.38E-06
FRAG1	1.537325125	4.39E-06
GPX1	1.824165183	4.50E-06
PDPK1	1.782247494	4.55E-06
SERF1A	1.310548561	4.57E-06
CCDC46	1.674841826	4.58E-06
CBX5	1.226212326	4.62E-06
RAB8A	-0.690177496	4.63E-06
