Gene	Value
ADRA1B	-0.03836188
ADRA1D	-0.059083372
ADRA2A	0.063091716
ADRA2B	-0.055453349
ADRA2C	-0.073006903
ADRB1	-0.00319603
ADRB2	0.200405932
ADRB3	-0.018266564
ADRM1	-0.248019938
ADSL	-0.022329855
ADTRP	0.156658393
AEBP1	0.131707971
AEBP2	0.215526002
AEN	-0.225741581
AFAP1	0.223422631
AFAP1-AS1	0.059771124
AFAP1L1	0.090237171
AFAP1L2	0.055762577
AFDN	0.178350413
AFDN-DT	-0.028438447
AFF1	0.269257863
AFF2	0.198881326
AFF3	-0.134782227
AFF4	0.248049663
AFG1L	0.166850769
AFG3L1P	-0.14132455
AFG3L2	0.071975217
AFM	-0.055113238
AFMID	-0.143974817
AFP	0.091202854
AFTPH	0.16244839
AGA	-0.038937472
AGAP1	0.213653622
AGAP11	0.00399388
AGAP2	0.022461327
AGAP2-AS1	-0.328242303
AGAP3	-0.370092068
AGAP4	-0.20362806
AGAP5	0.001614303
AGAP6	-0.177200152
AGAP7P	-0.209392079
AGBL1	-0.038471673
AGBL2	-0.191814295
AGBL3	0.019841515
AGBL4	0.000289803
AGBL5	-0.175866754
AGER	-0.217250006
AGFG1	0.342157663
AGFG2	-0.125908946
AGGF1	0.133802527
AGK	-0.00777982
AGL	0.188458403
AGMAT	-0.022374591
AGMO	0.082769135
AGO1	0.136643761
AGO2	0.295758844
AGO3	0.213595299
AGO4	0.127933873
AGPAT1	-0.1506598
AGPAT2	-0.166570425
AGPAT3	-0.076380216
AGPAT4	0.129330887
AGPAT4-IT1	0.184334902
AGPAT5	0.120272691
AGPS	0.02616324
AGR2	-0.140159668
AGR3	-0.134585149
AGRN	-0.153633404
AGRP	0.014048355
AGT	0.044901666
AGTPBP1	0.243044486
AGTR1	-0.038726264
AGTR2	0.037801856
AGTRAP	-0.163160926
AGXT	0.125021682
AGXT2	-0.092046394
AHCTF1	0.177559495
AHCY	-0.074821171
AHCYL1	-0.019012569
AHCYL2	-0.055354342
AHDC1	-0.069901401
AHI1	0.020068011
AHNAK	0.158722481
AHNAK2	0.128025536
AHR	0.350620617
AHRR	0.054737739
AHSA1	-0.083119939
AHSA2P	-0.179490351
AHSG	-0.031254075
AHSP	-0.027969985
AICDA	0.083887123
AIDA	0.057586794
AIF1	0.045803966
AIF1L	0.134650633
AIFM1	-0.073485861
AIFM2	-0.216896564
AIFM3	-0.209255282
AIG1	-0.054491098
AIM2	0.159446753
AIMP1	-0.100317162
AIMP2	-0.087792965
AIP	-0.277004325
AIPL1	-0.067547117
AIRE	-0.027792752
AJAP1	-0.030617839
AJM1	-0.097818925
AJUBA	0.206998441
AK1	-0.274817465
AK2	-0.063675875
AK3	0.023811063
AK4	0.171026792
AK5	0.099120966
AK7	0.083979656
AK8	-0.076201105
AK9	0.113824481
AKAIN1	-0.00298194
AKAP1	0.023397423
AKAP10	0.073732127
AKAP11	0.279456321
AKAP12	0.219716819
AKAP13	0.184900021
AKAP14	0.015871208
AKAP17A	-0.25966642
AKAP3	0.069836344
AKAP4	0.018226555
AKAP5	0.085135761
AKAP6	0.162265456
AKAP7	0.050003131
AKAP8	-0.141891796
AKAP8L	-0.33760277
AKAP9	0.113736292
AKIP1	-0.243665679
AKIRIN1	0.149985821
AKIRIN2	0.048278528
AKNA	0.085129774
AKNAD1	-0.013477868
AKR1A1	-0.161938745
AKR1B1	0.011200896
AKR1B10	0.183325305
AKR1B15	0.199532408
AKR1C1	0.014759552
AKR1C2	0.027605342
AKR1C3	-0.057864409
AKR1C4	-0.078038769
AKR1C6P	0.051358707
AKR1C8P	0.003656789
AKR1D1	0.183791205
AKR1E2	0.146217724
AKR7A2	-0.258647177
AKR7A2P1	-0.064857474
AKR7A3	-0.13596325
AKR7L	-0.222685998
AKT1	-0.178926342
AKT1S1	-0.354288212
AKT2	-0.188450707
AKT3	0.314812425
AKTIP	0.054628535
ALAD	0.021865794
ALAS1	0.149341454
ALAS2	-0.065980127
ALB	0.035635208
ALCAM	0.06601136
ALDH16A1	-0.26485459
ALDH18A1	0.049323485
ALDH1A1	0.209528468
ALDH1A2	0.137718803
ALDH1A3	0.253859687
ALDH1B1	0.126050007
ALDH1L1	-0.011539655
ALDH1L2	0.307256585
ALDH2	0.158819969
ALDH3A1	-0.077452974
ALDH3A2	-0.02806613
ALDH3B1	-0.03763525
ALDH3B2	0.017211837
ALDH4A1	-0.03154497
ALDH5A1	-0.123819898
ALDH6A1	0.094975471
ALDH7A1	0.006719942
ALDH8A1	-0.069324937
ALDH9A1	0.08228249
ALDOA	-0.071614121
ALDOB	-0.062669977
ALDOC	-0.050935309
ALG1	-0.109735709
ALG10	0.206533803
ALG10B	0.057473673
ALG11	0.184736935
ALG12	-0.195331933
ALG13	-0.080009304
ALG14	-0.101683711
ALG1L	-0.038964313
ALG1L2	-0.016870526
ALG2	0.092972006
ALG3	-0.149662023
ALG5	-0.076546977
ALG6	0.08146777
ALG8	-0.026783247
ALG9	0.161739415
ALK	0.149888078
ALKAL1	0.04080462
ALKAL2	0.068795936
ALKBH1	0.00970991
ALKBH2	-0.298024637
ALKBH3	-0.126718329
ALKBH4	-0.314605378
ALKBH5	-0.136186206
ALKBH6	-0.346203907
ALKBH7	-0.356591141
ALKBH8	0.16227412
ALLC	-0.053216364
ALMS1	0.195826205
ALMS1P1	-0.041040457
ALOX12	-0.087893349
ALOX12B	-0.098020166
ALOX12P2	-0.187958078
ALOX15	0.229903077
ALOX15B	0.182666495
ALOX5	0.140747738
ALOX5AP	0.156687871
ALOXE3	-0.163725772
ALPG	-0.015445398
ALPI	-0.163086624
ALPK1	0.187143391
ALPK2	0.22406893
ALPK3	0.175319099
ALPL	0.008843701
ALPP	-0.022753446
ALS2	0.205118676
ALS2CL	-0.036622624
ALX1	0.062514318
ALX3	-0.068805579
ALX4	0.108434424
ALYREF	-0.221293661
AMACR	0.098454546
AMBN	-0.047031017
AMBP	-0.020618524
AMBRA1	-0.096977774
AMD1	0.214917563
AMDHD1	-0.027119154
AMDHD2	-0.155426851
AMELX	0.031563881
AMELY	-0.003331566
AMER1	0.246912231
AMER2	0.005854653
AMER3	-0.092705628
AMFR	-0.127010521
AMH	-0.135842187
AMHR2	-0.058521412
AMIGO1	0.058136446
AMIGO2	0.147275752
AMIGO3	-0.191621162
AMMECR1	0.226078393
AMMECR1L	0.179997832
AMN	-0.162827587
AMN1	-0.074390198
AMOT	0.189183862
AMOTL1	0.2661583
AMOTL2	0.173290872
AMPD1	0.140729399
AMPD2	-0.163723366
AMPD3	0.046175479
AMPH	0.087277217
AMT	-0.13638627
AMTN	0.083459677
AMY1A	-0.030795936
AMY2A	-0.114797815
AMY2B	-0.097738034
AMZ1	-0.057432427
AMZ2	-0.176612873
AMZ2P1	-0.177486395
ANAPC1	0.262043775
ANAPC10	0.090720792
ANAPC11	-0.311854572
ANAPC13	0.001692714
ANAPC15	-0.203413376
ANAPC16	-0.094406098
ANAPC2	-0.278526758
ANAPC4	0.031118496
ANAPC5	-0.24521638
ANAPC7	-0.077823842
ANG	-0.121240121
ANGEL1	0.043192778
ANGEL2	0.130029231
ANGPT1	0.225325549
ANGPT2	0.193097434
ANGPT4	0.085765372
ANGPTL1	0.159990869
ANGPTL2	0.212482148
ANGPTL3	0.003234821
ANGPTL4	-0.01964407
ANGPTL5	0.028384786
ANGPTL6	-0.063012345
ANGPTL7	0.030907542
ANGPTL8	-0.146635472
ANK1	-0.113792042
ANK2	0.19256901
ANK3	0.193282501
ANKAR	0.011893002
ANKDD1A	-0.005437889
ANKEF1	0.12795488
ANKFN1	0.041480134
ANKFY1	0.235033393
ANKH	0.116269304
ANKHD1	0.143111415
ANKHD1-EIF4EBP3	0.037299763
ANKIB1	0.21274205
ANKK1	-0.094443573
ANKLE1	-0.056323165
ANKLE2	-0.136507988
ANKMY1	-0.183835022
ANKMY2	0.120300586
ANKRA2	-0.080759174
ANKRD1	0.07172483
ANKRD10	-0.050893746
ANKRD11	-0.063538583
ANKRD12	0.249968294
ANKRD13A	0.231720958
ANKRD13B	-0.140243602
ANKRD13C	0.158372137
ANKRD13D	-0.414372568
ANKRD16	-0.19239468
ANKRD17	0.262855673
ANKRD18DP	-0.012899677
ANKRD19P	-0.126187908
ANKRD2	-0.146892551
ANKRD20A11P	-0.001077984
ANKRD20A20P	-0.043805483
ANKRD20A8P	-0.085904549
ANKRD20A9P	0.055972289
ANKRD22	0.07005531
ANKRD23	-0.200022549
ANKRD24	-0.290132873
ANKRD26	0.098358149
ANKRD26P1	-0.047653764
ANKRD26P3	-0.054537575
ANKRD27	0.168249092
ANKRD28	0.224328312
ANKRD29	-0.057286199
ANKRD30A	0.085508904
ANKRD30B	0.0331391
ANKRD30BL	0.005669238
ANKRD30BP2	0.030007963
ANKRD31	0.086207987
ANKRD33	0.02148316
ANKRD34A	0.035108901
ANKRD34B	0.155478509
ANKRD34C	0.136929823
ANKRD35	-0.061697249
ANKRD36	-0.031339509
ANKRD36B	0.1081609
ANKRD36BP1	0.28482706
ANKRD36BP2	0.098508284
ANKRD37	-0.016971647
ANKRD39	-0.388076173
ANKRD40	0.052373827
ANKRD40CL	-0.047962879
ANKRD42	0.044035718
ANKRD44	0.240961584
ANKRD45	0.133597441
ANKRD46	0.18521423
ANKRD49	0.116017782
ANKRD50	0.228542064
ANKRD52	0.019212043
ANKRD53	-0.016808467
ANKRD54	-0.222287274
ANKRD55	0.041590721
ANKRD6	0.146236304
ANKRD65	0.03213183
ANKRD66	0.035492326
ANKRD7	0.007201102
ANKRD9	-0.23041412
ANKS1A	0.130571139
ANKS1B	0.074182407
ANKS3	-0.226498087
ANKS4B	0.105301553
ANKS6	0.08182947
ANKUB1	0.017030658
ANKZF1	-0.180517682
ANLN	0.128692831
ANO1	0.000694576
ANO10	0.173452999
ANO2	0.008992903
ANO3	0.123183582
ANO4	0.033664607
ANO5	-0.063590055
ANO6	0.380803798
ANO7	-0.136679704
ANO8	-0.213287338
ANO9	-0.350193747
ANOS1	0.102348856
ANP32A	-0.180327341
ANP32A-IT1	0.127663094
ANP32AP1	-0.146907964
ANP32B	-0.108434993
ANP32C	-0.12590373
ANP32D	0.02425089
ANP32E	0.021005021
ANPEP	0.054353581
ANTXR1	0.304921379
ANTXR2	0.30473276
ANTXRL	-0.038259948
ANXA1	0.20706833
ANXA10	-0.020130807
ANXA11	-0.218940235
ANXA13	0.107127806
ANXA2	0.031616618
ANXA2P1	0.076349293
ANXA2P2	0.072321076
ANXA2P3	-0.062358855
ANXA2R	-0.04139439
ANXA3	0.166738812
ANXA4	0.212277777
ANXA5	0.06699986
ANXA6	-0.206507855
ANXA7	0.13360106
ANXA8	0.003994768
ANXA8L1	-0.024686653
ANXA9	-0.114237994
AOAH	0.145951676
AOC1	0.046312723
AOC2	-0.098828228
AOC3	0.052681243
AOC4P	-0.010621063
AOPEP	0.182592043
AOX1	0.219421371
AOX2P	-0.099680491
AP1AR	0.148274791
AP1B1	-0.015064971
AP1G1	0.148259672
AP1G2	-0.20888951
AP1M1	-0.142169947
AP1M2	-0.242571167
AP1S1	-0.256573826
AP1S2	0.31515956
AP1S3	0.160029725
AP2A1	-0.270860284
AP2A2	-0.233851325
AP2B1	0.02255085
AP2M1	-0.212792155
AP2S1	-0.213430635
AP3B1	0.118272251
AP3B2	-0.102374508
AP3D1	-0.190773733
AP3M1	0.151819194
AP3M2	0.038668332
AP3S1	0.280376694
AP3S2	-0.040170452
AP4B1	-0.149272595
AP4E1	0.13732943
AP4M1	-0.274244909
AP4S1	0.058891577
AP5B1	-0.121325776
AP5M1	0.219666096
AP5S1	-0.063423708
AP5Z1	-0.221872736
APAF1	0.19235099
APBA1	0.08862661
APBA2	0.055917738
APBA3	-0.305437082
APBB1	-0.097255681
APBB1IP	0.127291083
APBB2	0.022116902
APBB3	-0.216125949
APC	0.289190772
APC2	-0.149012226
APCDD1	0.15289567
APCDD1L	0.12499897
APCS	-0.04155546
APEH	-0.103889432
APEX1	-0.107996303
APEX2	-0.053645201
APH1A	-0.034547947
APH1B	-0.057089556
API5	0.170117667
APIP	-0.071078078
APLF	0.173265926
APLN	0.025471946
APLNR	0.008831304
APLP1	-0.224656748
APLP2	0.054193938
APMAP	0.109331721
APOA1	-0.197914742
APOA2	-0.050440517
APOA4	-0.034688527
APOA5	-0.068149252
APOB	0.053623257
APOBEC1	-0.083444989
APOBEC2	0.005772495
APOBEC3A	0.054480889
APOBEC3B	-0.002606418
APOBEC3C	0.138268618
APOBEC3D	0.034174158
APOBEC3F	-0.03847727
APOBEC3G	0.064009775
APOBEC3H	0.031757282
APOBEC4	0.048734325
APOBR	-0.049066129
APOC1	0.013745358
APOC1P1	0.041287123
APOC2	0.039840362
APOC3	-0.102555063
APOC4	-0.051641881
APOD	0.191930557
APOE	-0.105053767
APOF	0.080094143
APOH	-0.050611945
APOL1	0.077998279
APOL2	-0.032976334
APOL3	0.031281488
APOL4	0.147709393
APOL5	-0.002408321
APOL6	0.266329419
APOLD1	0.001804753
APOM	-0.187946568
APOO	-0.089380915
APOOL	0.255215508
APP	0.197521849
APPBP2	0.08111839
APPL1	0.297052632
APPL2	0.176306842
APRT	-0.296180837
APTX	-0.120923365
AQP1	0.045863425
AQP10	-0.010184466
AQP11	-0.087798163
AQP12A	0.049382077
AQP12B	0.018250995
AQP2	0.002254152
AQP3	0.055415564
AQP4	0.021665442
AQP4-AS1	-0.037464614
AQP5	0.038799762
AQP6	-0.109913544
AQP7	-0.027851905
AQP7P1	-0.037307753
AQP7P3	-0.012164806
AQP8	-0.116848801
AQP9	0.155508644
AQR	0.244307594
AR	0.219982051
ARAF	-0.151832447
ARAP1	-0.171643228
ARAP2	0.188368321
ARAP3	-0.007012834
ARC	-0.047553375
ARCN1	0.263690823
AREG	0.013343957
AREL1	0.225546056
ARF1	-0.168839887
ARF3	-0.032955904
ARF4	0.18014863
ARF5	-0.249839061
ARF6	0.131697774
ARFGAP1	-0.239813824
ARFGAP2	-0.293137937
ARFGAP3	0.237290973
ARFGEF1	0.319198001
ARFGEF2	0.250201018
ARFGEF3	0.219167604
ARFIP1	0.172627635
ARFIP2	-0.226581365
ARFRP1	-0.23674385
ARG1	0.046590723
ARG2	0.087754387
ARGFX	-0.041020704
ARGFXP2	0.176453371
ARGLU1	-0.041298345
ARHGAP1	-0.000230975
ARHGAP10	0.130610831
ARHGAP11A	0.005400149
ARHGAP11B	0.040084029
ARHGAP12	0.296681907
ARHGAP15	0.14786616
ARHGAP17	0.069060823
ARHGAP18	0.164733603
ARHGAP19	0.133005117
ARHGAP20	0.259984594
ARHGAP21	0.231676654
ARHGAP22	-0.063074139
ARHGAP23	0.082708369
ARHGAP24	0.179453851
ARHGAP25	0.135340331
ARHGAP26	0.186236286
ARHGAP27	0.022547685
ARHGAP27P1	-0.125802099
ARHGAP27P2	0.016307346
ARHGAP28	0.282363479
ARHGAP29	0.244564656
ARHGAP30	0.124051252
ARHGAP31	0.248279529
ARHGAP32	0.162351434
ARHGAP33	-0.231498021
ARHGAP35	0.186037082
ARHGAP36	-0.049405158
ARHGAP39	-1.20E-05
ARHGAP4	-0.161188015
ARHGAP42	0.20853528
ARHGAP44	0.156655685
ARHGAP45	-0.127294149
ARHGAP5	0.320154197
ARHGAP5-AS1	0.04275302
ARHGAP6	0.139297896
ARHGAP8	-0.131719096
ARHGAP9	0.031892208
ARHGDIA	-0.32999874
ARHGDIB	0.113580869
ARHGDIG	-0.036395174
ARHGEF1	-0.29762595
ARHGEF10	0.030441384
ARHGEF10L	-0.137570647
ARHGEF11	-0.002090093
ARHGEF12	0.272737578
ARHGEF15	-0.005879486
ARHGEF16	-0.287082954
ARHGEF17	0.006092642
ARHGEF18	-0.085286009
ARHGEF19	-0.173002079
ARHGEF2	-0.037098342
ARHGEF25	-0.147306793
ARHGEF26	0.084262862
ARHGEF28	0.086704661
ARHGEF3	0.166162839
ARHGEF33	0.060774371
ARHGEF35	-0.050462562
ARHGEF37	0.207373325
ARHGEF38	0.225240452
ARHGEF39	-0.107697538
ARHGEF4	0.091823616
ARHGEF40	0.041799533
ARHGEF5	-0.114067925
ARHGEF6	0.131060935
ARHGEF7	0.025136712
ARHGEF9	-0.000902156
ARID1A	0.110347719
ARID1B	0.224220834
ARID2	0.150604398
ARID3A	-0.043144526
ARID3B	-0.126154108
ARID3C	0.031630633
ARID4A	0.191923074
ARID4B	0.169926983
ARID5A	-0.155035346
ARID5B	0.358781345
ARIH1	0.168037401
ARIH2	-0.060616283
ARIH2OS	-0.173796474
ARL1	-0.01109652
ARL10	0.269248047
ARL11	0.051940055
ARL13A	0.047552992
ARL13B	0.233561964
ARL14	0.025305545
ARL14EP	-0.046097768
ARL15	0.174469524
ARL16	-0.244690309
ARL17A	0.049083683
ARL17B	0.029200688
ARL2	-0.186980052
ARL2BP	0.058758738
ARL3	-0.183613477
ARL4A	0.081312734
ARL4C	0.232993464
ARL4D	0.031760988
ARL5A	0.25586047
ARL5B	0.328705867
ARL5C	-0.035703826
ARL6	0.159405148
ARL6IP1	0.079212597
ARL6IP4	-0.371419844
ARL6IP5	0.179667025
ARL6IP6	0.121219042
ARL8A	-0.184275497
ARL8B	0.143003208
ARL9	-0.106547276
ARMC1	0.34356243
ARMC10	-0.032681518
ARMC12	-0.215865519
ARMC2	0.169828612
ARMC3	0.118441726
ARMC4	-0.054458958
ARMC5	-0.301920998
ARMC6	-0.258045743
ARMC7	-0.264379188
ARMC8	0.221652679
ARMC9	0.012484581
ARMCX1	-0.007214774
ARMCX2	-0.055730805
ARMCX3	0.099617231
ARMCX5	0.004161168
ARMCX6	-0.067981255
ARMH1	-0.176617128
ARMH3	0.099145394
ARMH4	0.256331631
ARMS2	0.016814807
ARMT1	-0.03421155
ARNT	0.177549108
ARNT2	-0.058202464
ARNTL	0.071198917
ARNTL2	0.205124587
