Name	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10
ENDOD1	5.551639719	5.406464999	4.663784746	3.550765405	4.103506712	8.393990714	9.538503099	9.06992267	8.639664402	7.106391575
ARHGAP24	6.890079479	8.883941099	9.560650816	8.285673685	9.043751557	3.544009978	4.919182637	4.664793666	4.410468359	5.822082766
CST7	7.883061275	8.546584568	8.364553131	9.54011012	8.69747335	3.557674338	4.453887308	4.203405209	5.06508165	5.712803093
HIST1H2BM	6.18690843	4.4488033	5.428770812	6.747681482	2.57757949	7.828232763	6.517819482	10.20686832	9.345190217	6.736779744
EREG	8.598145058	4.920183561	9.22764453	5.222157127	4.68984964	8.703616836	8.657713529	7.820688264	2.943618033	5.241017461
EMP1	4.837475434	5.999576417	6.115168425	5.056323015	4.808929654	6.713164014	12.18930654	6.310853098	8.391136991	5.602700457
NFAM1	8.65629019	9.957289007	7.319900294	8.073513984	9.016657667	4.517623152	4.722709584	3.961950715	4.440519757	5.358179692
SLC40A1	9.52082185	4.630086068	5.11648649	9.346002833	9.813191555	6.101415747	4.186182287	4.1986391	7.193107863	5.918700249
CD52	4.230927183	5.932495709	5.011897812	5.101308396	4.398327084	6.380093554	8.984662724	10.234718	9.800304561	5.949899014
HIST1H2BH	5.805177087	4.343196988	6.13937959	5.817530254	2.513284247	8.188458184	7.126535671	10.40428574	8.873457973	6.81332831
PFKFB3	7.424256728	9.676784864	8.935155595	8.045832949	8.89068984	4.273863932	6.238450226	4.099110774	4.189283574	4.251205557
SNORD116-20	8.377057943	5.359552833	8.694841287	8.044566874	2.953568193	7.268418563	6.682020998	8.318052391	7.830180119	2.496374839
STX11	8.33848787	8.565954357	8.767868208	9.403257032	7.892701904	4.205834876	6.565666292	3.931023597	5.050443185	3.303396719
SYNE2	9.110726113	9.678361346	8.405611737	6.946242207	8.156072839	5.791007011	6.837267408	3.722293689	3.640645743	3.736405947
TCN1	8.193179393	8.907284883	8.71384756	8.98092756	7.627557884	4.626609398	7.354054704	3.26529168	5.108398324	3.247482655
SNORA74A	5.498903643	5.062103414	12.56149912	5.839201762	7.581050677	5.498295684	5.023578967	5.501734283	5.457302198	8.000964288
CD74	5.017443089	5.383977593	3.405650759	3.264326552	5.60296553	8.550156843	8.464523351	8.132410169	8.516342318	9.686837837
EIF4E3	9.366887619	8.36018887	5.655052134	4.287721046	8.713765363	8.880801097	6.417392765	3.405857996	3.25180217	7.68516498
MYO7B	8.796115344	9.26583691	7.865640476	8.785319991	9.209703076	4.272202067	4.866188166	4.310299726	3.758575262	4.894753023
MX1	10.73990309	4.504042609	4.714302595	6.244797804	4.891500971	10.72787912	5.653528338	5.430465774	7.734044931	5.38416881
LDLR	3.302395368	10.58243001	6.209913274	3.804214156	4.631390946	5.534046354	9.433715081	7.632739332	7.488578577	7.405210938
S100P	8.356362949	7.915490842	9.4817698	9.642992778	8.363519399	3.699450554	5.688942965	4.353190192	4.53125429	3.991660273
PTPRCAP	5.028666997	4.724010547	4.122229357	4.188947613	3.803050858	8.525158671	9.169701322	8.846712386	9.080125965	8.536030324
KIT	5.888211697	2.533193688	5.077110918	4.744692935	4.839050513	9.085158267	6.46904009	8.933185645	9.056707469	9.398282819
OLR1	9.018681876	7.936957322	9.390896985	8.897994478	8.668924587	5.261594975	5.042520443	3.578715734	4.848454275	3.379893365
NKG7	7.312522982	10.3729637	7.93774382	8.161248535	9.671050746	4.164075995	4.992761254	4.204688814	3.824128666	5.383449528
