gene,log2FC,pvalue
NOX1,-0.636695327,0.275406237
E2F2,-1.907788346,0.282789257
PSMB1,-0.043444551,0.60639241
SYN1,-0.704134025,0.13301452
JARID2,-0.441578638,0.002450277
CDKL5,0.240834352,0.302962556
CAMK1G,0.371897782,0.647342399
CDK11A,0.207204958,0.597110722
NADK,-0.776208456,5.10E-10
DLEC1,0.270169726,0.73999818
CYTH3,-1.183420214,3.52E-30
ADAM22,0.28150665,0.515424274
SYPL1,-0.279915175,0.008835245
CYB561,-0.0076805,0.945095935
SPAG9,0.031112637,0.695209492
CELSR3,-0.26386859,0.21999505
AASS,-1.095733944,3.41E-24
PLEKHG6,-0.502930586,0.448205851
SS18L2,-0.538507309,0.011640913
MPND,-0.063217046,0.766901986
MGST1,-0.105535005,0.259209815
CRY1,-0.088878547,0.579417399
PGLYRP1,-2.466068393,0.133329492
NFIX,0.326378457,3.29E-06
ST3GAL1,0.595131546,9.71E-10
MMP25,0.8886865,0.451525001
IL32,0.749094836,9.19E-05
PKD1,-0.480404346,0.000213081
MAPK8IP2,-0.377218625,0.424796375
MED24,0.025682119,0.787908623
RHOBTB2,-0.547720881,4.56E-06
HEATR5B,-0.042097386,0.667349095
SEC62,-0.173199767,0.032874529
RPS20,0.037502905,0.611514571
CSDE1,-0.009214067,0.906583214
UBE3C,-0.207676818,0.010217029
REV3L,-1.095589839,4.90E-18
TENM1,0.905439555,0.406036928
MASP2,0.399312473,0.180542741
FAM76A,-0.566379613,0.001560087
TRAF3IP3,0.2198151,0.673807421
POMT2,-0.085318187,0.481148629
VTA1,0.055609208,0.574351023
MLXIPL,-2.085242428,0.161707569
BAZ1B,0.040569716,0.657472473
RANBP9,-0.720868689,7.70E-09
ETV7,0.846980712,0.079862568
SPRTN,0.063526721,0.689256534
EEF1AKNMT,0.028567557,0.783514522
DYRK4,0.239938113,0.111723651
ZNF207,-0.120528751,0.130860631
UQCRC1,-0.47217727,4.52E-07
STARD3NL,-0.049214531,0.642421085
CD9,-0.56972859,3.96E-09
NCAPD2,-0.029280137,0.782841557
IFFO1,0.073567612,0.454994435
GIPR,1.126954916,0.024022753
PHF7,0.03485618,0.887699827
NISCH,0.264424442,0.001234655
FUZ,-0.15519623,0.334481284
IDS,-0.190758378,0.036897812
PRSS3,-0.090158922,0.864669681
ZNF200,0.126601152,0.494175044
CD4,0.256055642,0.331252334
LRRC23,0.239867784,0.164659515
HFE,0.157634215,0.243473369
SCMH1,0.004689822,0.963129015
FYN,-0.057559813,0.527745403
HIVEP2,0.355726664,0.000136224
FMO1,-0.954662865,0.063480459
ELOA,-0.180753525,0.056392234
LYPLA2,-0.214850761,0.058299143
CLCN6,-0.091206351,0.417160584
MRC2,0.220421159,0.005460532
TSPAN9,-0.289221854,0.001099587
BTBD7,-0.061926382,0.511622518
APBA3,-0.100443285,0.522543463
MKS1,0.304273489,0.069866943
ABHD5,-1.125082214,2.13E-10
AKAP8L,0.184714326,0.109564042
MBTD1,0.304575852,0.020686304
UTP18,-0.249867586,0.04073045
RNF216,-0.01131895,0.889979834
TTC19,-0.129292297,0.315931123
PTBP1,-0.351111169,8.78E-06
DPF1,-0.191716663,0.731749418
SYT7,0.913808581,3.78E-06
LARS2,-0.033767763,0.773953917
PIK3C2A,-0.356167626,2.91E-05
PLAUR,-0.050165558,0.739009428
ANLN,0.015709345,0.910365012
WIZ,-0.074737342,0.439873345
GPR21,-0.427435814,0.000147777
RABGAP1,-0.427435814,0.000147777
DCN,0.096203633,0.200728771
QPCTL,-0.68595181,7.87E-05
PPP5C,-0.548631606,2.27E-07
CEP68,-0.15884255,0.190247185
MAP4K3,-0.808168874,2.98E-15
ZBTB32,-0.488858035,0.706767446
TYROBP,-0.42668145,0.787032588
TMEM159,-0.110260259,0.3655362
BRCA1,1.210337837,8.76E-13
ERCC1,-0.012640437,0.919721131
SEMA3B,0.7333774,6.08E-12
MBTPS2,-0.115373487,0.272187554
PRICKLE3,-0.16729723,0.363285099
EXTL3,-0.091193611,0.321093074
ELOVL5,-0.40339354,0.000654228
KDM5D,0.121011489,0.34006641
CALCOCO1,-0.411307657,0.000156186
UBR7,0.127022775,0.295649297
MAP4K5,0.09978239,0.220349082
EHD3,-0.460118441,0.002473969
PSMC4,-0.136635594,0.146848756
MAN2B2,-0.075677482,0.444783474
SLC7A14,2.88282512,5.85E-40
CLDN11,1.774312745,1.48E-24
SLC25A39,0.017197137,0.862174649
MVP,-0.138915012,0.065733756
NUB1,-0.170726939,0.085050436
PGM3,0.287110883,0.008792984
RWDD2A,0.275464186,0.053282109
CLK1,-0.262779085,0.054061675
POLR3B,-0.097874074,0.472299652
ANGEL1,0.309399872,0.018093095
RNF14,-0.314866724,0.004245163
DNASE1L1,0.008477926,0.958991095
DDX11,0.505871366,0.001158461
HEBP1,-0.388845572,0.001241158
GPRC5A,0.150759417,0.356086382
MAMLD1,-0.359683589,0.002715705
TACC3,-0.14622532,0.548121779
UFL1,0.108616807,0.320823981
POLA2,0.20805874,0.197597078
ZC3H3,-0.019865464,0.872412258
CAPN1,-0.268302279,0.001867259
ACPP,0.656993622,0.240958487
MDH1,0.071530237,0.400358374
SLC30A9,-0.130712027,0.171138936
MTMR11,0.447183999,0.000221451
COX15,0.084553932,0.411552812
CCDC88C,-0.402963281,0.631625256
YAF2,-0.399679876,0.020845877
ZMYND11,0.030389105,0.707822619
WAS,1.415123908,0.11472618
DPEP1,-4.011470951,0.035423885
BID,-0.004304026,0.972711772
MATR3,0.146777677,0.064549826
NPC1L1,2.820007442,3.66E-06
XYLT2,-0.045993189,0.664008178
RGPD5,0.208404782,0.02733096
NUDCD3,-0.028590315,0.754754272
CHDH,2.00739324,1.95E-14
IL20RA,1.132328118,0.072100074
GLT8D1,-0.081981841,0.365254129
ATP2C1,0.149908949,0.107406415
IGF1,0.479189918,0.004240991
SLC38A5,1.005536998,3.96E-07
RALBP1,-0.565160052,1.21E-09
RUFY3,0.308196826,0.002452534
CNTN1,-0.401695376,0.171789657
SLC11A1,-0.011807521,0.988223485
WWTR1,-0.114914927,0.18620778
AGPS,-0.143181429,0.16345739
CXorf56,0.106755134,0.416085468
ATP1A2,0.915848549,2.68E-14
TTC27,-0.007754834,0.95774012
ZNF582,0.083319515,0.753856457
VSIG2,-0.366813895,0.656572063
PHLDB1,-0.354089678,0.001678227
CYP24A1,4.324692651,3.94E-07
PRDM11,-0.403280292,0.02897314
SNAI2,-0.054599092,0.855778981
CD74,0.641525555,0.029497746
HGF,0.974578271,9.89E-13
ZRANB1,-0.927603129,4.23E-19
NCDN,0.50289753,3.46E-07
ADGRA2,0.334007614,0.004219729
ZFP64,0.297550347,0.058910181
MNAT1,-0.066230157,0.691472594
SAMD4A,-1.203337685,2.29E-38
RUNX3,-0.414883089,0.079711232
MRE11,-0.055046501,0.65310562
PLEKHB1,0.420093541,0.402828461
SERPINB1,-0.596642586,6.21E-08
SLC7A9,0.034453522,0.983456124
SPAST,-0.075592131,0.528505878
NRXN3,-1.910326458,6.83E-06
OSBPL5,-0.407541706,4.98E-05
AQR,-0.222799635,0.022767932
CPS1,0.304475936,0.015033016
FHL1,-0.511198834,1.16E-09
RTF2,-0.098837541,0.335602005
SLC45A4,-0.264949761,0.11129302
RNF10,-0.276812961,0.000555705
ZNF839,0.190417667,0.265305863
ZDHHC6,-0.191917564,0.05922714
GRAMD1B,0.713597853,0.003605143
RNH1,-0.153813715,0.118741301
NDUFS1,-0.124437415,0.180126292
RB1CC1,-0.123953064,0.287461481
ERP44,-0.226749152,0.011831175
ALAS1,0.268558567,0.005220347
BIRC3,-0.488095459,0.111507196
AKAP11,0.053838849,0.526309162
GLRX2,-0.257708314,0.251331325
SNAPC1,-0.725167432,3.72E-07
DERA,-0.318460617,0.003425179
STRAP,-0.280521,0.003344239
ABCC2,-0.311117392,0.529411312
DEF6,0.305443323,0.706161522
PLEKHO1,-0.409290043,5.56E-05
GCLM,-1.222051966,2.26E-25
UBR2,-0.12921214,0.177694254
EHD2,-0.17431742,0.023985207
DEPDC1,0.314935831,0.489266917
CCDC28A,-0.166969992,0.34430458
RRAGD,-0.595486993,0.419812456
HSF2,0.238176647,0.103376761
PHF20,0.115361885,0.21740769
HSD17B6,1.993036095,1.68E-16
NR1H3,-0.155541263,0.289751425
TYMP,-1.231178862,5.27E-10
NCAPH2,0.091476854,0.483423269
TOMM34,0.489073533,2.86E-05
SEC63,0.055221922,0.474075127
KPNA6,-0.148459531,0.086849032
VIM,0.400633293,0.002723229
RTEL1-TNFRSF6B,0.337416827,0.36270279
FAS,0.051559039,0.619743175
RNASET2,0.437410678,0.034576613
CD44,0.182999166,0.075500065
KCNG1,0.763455124,0.139461668
AGPAT4,0.156584421,0.220313892
BTN3A1,0.889719599,4.16E-17
MIPEP,0.342354242,0.008092456
PRKCH,-1.068975774,5.76E-05
IFNGR1,-0.395762236,0.003046389
B4GALT7,0.134941202,0.346176679
VRK2,-0.199189347,0.194439207
TNFRSF1B,-0.848907682,2.35E-06
VEZT,-0.001506187,0.986879544
POU2F2,2.090060462,1.85E-08
BRD9,-0.018535295,0.872681036
SNX1,0.073543698,0.334729532
TBPL1,0.335116257,0.011451277
ARNTL2,0.039019209,0.781354213
BCLAF1,0.048033716,0.554431702
SLC39A9,0.12198883,0.2148282
ANK1,0.237790985,0.33594509
TFB1M,0.005171557,0.981250374
RABEP1,-0.003912001,0.965009725
HMGB3,0.373468493,0.000430014
NUP160,-0.044328384,0.665460371
BAK1,-0.125400234,0.427887312
MUSK,-0.038477911,0.92559735
IKZF2,-0.317769937,0.13316737
GRN,0.187442067,0.010762983
FAM13B,-0.038247269,0.715733627
ARHGAP31,0.702618108,8.39E-08
CENPQ,-0.096961487,0.650561484
SARS,0.536452718,5.96E-09
RANBP3,0.393529418,0.00110869
ARID4A,-0.001876419,0.987638087
EIPR1,-0.049548953,0.804055043
PNPLA6,-0.191097163,0.050440964
IFT88,0.642333697,9.99E-06
ALG1,-0.045280114,0.730603932
ZCCHC8,-0.109423236,0.402481667
ABCF2,-0.34506506,0.0002826
CHPF2,-0.049308953,0.617101747
LRRC7,0.429296526,0.555882821
FUT8,0.274498656,0.047018901
UBA6,0.24060058,0.029581979
GAB2,-0.369024954,0.001422296
ATP6V0A1,-0.430021919,0.002113918
PIAS1,0.038310702,0.702721514
SLC4A7,0.926494039,2.13E-21
APBA2,-0.005522635,0.979753208
MAP2K3,-0.89203656,2.39E-07
EFCAB1,0.364029955,0.623840417
TMSB10,0.122220447,0.194774073
ASTE1,0.675438067,0.001097117
RNF19A,-0.195545577,0.068558391
PEX3,0.40676132,0.002171874
GABARAPL2,-0.369320895,9.16E-05
MYOC,0.001594012,0.99174566
SH3YL1,0.461196426,0.000130287
FAM136A,-0.18856631,0.133733357
VCL,-0.856392565,9.19E-17
DEPDC1B,0.887772324,0.105819528
DAPK2,-1.683677245,1.48E-25
NSMAF,0.336630411,0.000749361
ADSS,0.166331653,0.217571126
TIMP2,-0.139656948,0.129557628
RFC1,0.145775608,0.136566448
TBC1D23,-0.185434503,0.055498905
CUL3,-0.012560683,0.88979153
MYOM2,0.365643602,0.366848268
CYP46A1,0.47046073,0.234203616
ZZZ3,0.020873383,0.837632023
USP2,-0.680739281,0.239449651
TUBG2,0.133407059,0.213456954
RPL26L1,-0.318512544,0.014827335
FLT4,-0.282218122,0.86694683
NSUN2,-0.133949576,0.159045428
FBXO42,-0.356842851,0.003155322
MFAP3,-0.237876103,0.021719705
MRI1,-0.086001546,0.608912202
METTL1,0.234881265,0.406633612
HOXC8,0.227820808,0.5829424
AGA,0.206650226,0.191105135
PI4K2B,-0.011919135,0.930997535
BOD1L1,0.092907933,0.298348456
MAT2B,-0.527207065,3.99E-06
TLL1,0.766000426,0.287254591
EDC4,-0.101569437,0.344112893
TRIO,0.196797361,0.079093135
VCAN,0.378341468,0.000783775
CLEC16A,0.22818482,0.091809115
MSR1,0.72478615,5.42E-05
MTREX,0.013825833,0.879019044
DNAH5,0.190106177,0.387814909
ZFYVE16,0.125002226,0.18549978
RIPOR1,-0.223227392,0.021508786
C6,-1.865507062,0.000105429
RAI14,-0.504971874,2.77E-05
SOX30,-0.377818736,0.677286555
PNKP,0.307125631,0.038636897
PHLPP2,-0.327425681,0.016655898
SPDL1,0.194913405,0.323810286
STAU2,0.078104099,0.506865855
PQLC2,-0.28682045,0.0374625
CTNS,0.015906664,0.890805228
RTN4R,1.594069891,0.355960983
PHF23,0.243433812,0.044851293
CDH10,1.903874044,7.62E-10
INPP4A,0.005405989,0.961797973
RAB27B,1.547415654,2.05E-05
PSMA4,0.032512564,0.765410733
MYO16,-1.722103256,0.005474418
LSG1,-0.188313658,0.086312147
PARP3,0.071563883,0.5840018
TNC,0.810848805,9.59E-07
THAP3,0.099003795,0.513462728
RIPOR3,-0.124878171,0.281530748
TDP1,0.420349068,0.007766393
AIFM2,-0.70625237,1.16E-10
SPATA7,0.31791563,0.039532274
MED17,-0.206602862,0.103186035
RETSAT,0.037153357,0.679759318
CAPG,-0.013032008,0.898326131
AP2S1,-0.232813189,0.026372784
USH2A,0.878928212,0.392319804
TG,-0.249985212,0.500603077
ADAM28,-0.576458605,0.362880133
DCUN1D1,-0.112077317,0.308404508
JADE2,-0.314469684,0.00089237
TRIT1,0.063601909,0.668911068
CUL7,0.509585241,1.61E-06
CTNNA1,-0.113085883,0.173543254
PHKA2,-0.270618351,0.030711717
CNTLN,0.271276889,0.024892232
EPHA3,-0.063715947,0.856267586
HSPA5,0.045787676,0.907449288
DSG2,0.639007514,0.137238287
GEMIN8,-0.051420957,0.695350204
OFD1,-0.03947224,0.812353629
GPM6B,-2.396143293,2.43E-36
PREX2,1.049796231,0.008165969
WDR37,-0.279797482,0.01436336
YTHDC2,-0.186058542,0.077447295
CTPS2,0.020605343,0.890248739
ATP6V1H,-0.047677264,0.673587025
POLR2B,0.019188165,0.811844017
FAM214A,0.084083064,0.577130873
ARAP2,0.395416015,0.182200575
TPR,0.015078624,0.839619884
CP,-0.626557621,0.228726097
KIAA0556,0.074257891,0.505663098
DTNBP1,-0.033398932,0.8156084
ANO2,-0.428666365,0.430344672
C12orf4,0.372302726,0.003649358
SCML1,-0.237155618,0.061006657
WWC3,-0.325880392,0.004835335
ARHGAP6,0.005947425,0.965829409
FAM184B,-0.222374532,0.79818434
MAP4,-0.138674871,0.072815571
GOPC,0.181427281,0.04363477
ROS1,-0.647570389,0.714835373
USP28,-0.025589699,0.820226769
HDAC9,0.475520381,5.18E-05
TSPAN17,-0.230482273,0.018344099
NOP16,-0.52698806,0.015905698
CC2D2A,0.410148243,5.13E-05
RRM2B,0.070117824,0.438457424
ZNF800,-0.382176772,0.002959908
SNX29,-0.428506401,0.001443267
LMO3,-1.395553809,4.33E-07
MRPS10,0.061996789,0.583718446
GUCA1A,1.486357115,0.112427839
RSF1,-0.000433244,0.99605154
VPS13D,-0.645980446,3.51E-13
CELF2,-0.928634879,2.34E-15
FAM120A,-0.118561814,0.153163536
R3HDM1,0.224285109,0.059904405
COL9A2,0.773940612,0.00087283
KITLG,0.088539852,0.422627407
ERCC8,0.257129646,0.160378375
ADAMTS6,0.407071793,0.034937856
H6PD,-0.399520167,0.000143048
VAMP3,-0.154241661,0.082755675
PER3,2.20776961,1.67E-16
EPN3,0.831267607,0.127658225
LTBP1,-0.695529508,1.40E-14
RCN1,0.078604372,0.374246833
ELN,-0.956023944,1.93E-14
RFC2,0.359697777,0.066022985
ARID1B,0.13979959,0.088727378
CLPTM1L,-0.257927623,0.003891763
NEDD4L,1.120767654,9.00E-13
FOXP3,-0.53921462,0.62793815
PPP1R3F,0.200474432,0.355642757
HEXB,0.012319786,0.888453435
PTCD2,0.260176169,0.135502862
JKAMP,-0.026020869,0.784267107
DKK3,-0.24728134,0.002340546
ARHGEF5,-0.047575191,0.690341918
NFE2L3,0.029964813,0.839257323
MCUR1,-0.398968105,0.000792022
LIMA1,0.238692957,0.051910063
LETMD1,0.108474912,0.339333385
SLC4A8,0.325223133,0.197184732
LAMC3,0.170631446,0.51702666
PTGER3,0.281097332,0.057894362
TNIP3,0.814877155,0.628407781
MAPK9,0.010274542,0.913448764
BCAR1,-0.143846198,0.241473252
FAM160A2,-0.021511729,0.852897686
HERPUD1,-0.749019454,8.80E-18
HOMER3,0.196327184,0.10069255
RAD51,-0.946895654,0.002356171
POLQ,0.518150481,0.210187392
PIK3CB,-0.358370288,0.01339398
CYBA,-0.266471592,0.010443216
THOC3,0.196335549,0.143371165
HEBP2,-0.410018678,1.09E-05
MPHOSPH9,0.4393622,0.002158436
PLEKHA5,0.287600239,0.012247431
SIKE1,0.049027222,0.622435529
RRP12,-0.03381201,0.808453574
FNIP2,-0.184101149,0.091659665
MSMO1,0.101880277,0.423859108
TTC17,0.098253745,0.247745404
ALX4,2.201832719,0.297663022
FOXN3,-0.39972996,0.002656356
METTL24,0.740183355,0.222288256
AKR7A2,-0.089922245,0.323718673
MRTO4,-0.252460438,0.063764611
NNAT,0.163553508,0.637935797
USE1,0.179292366,0.18454431
MCF2L2,-0.52713821,0.537546082
NRIP2,0.184932842,0.552220333
LAMA3,-0.954854704,2.92E-07
AP5M1,0.000573747,0.995800117
ANAPC4,-0.033139022,0.750763183
TRAPPC3,-0.088452248,0.386255567
THRAP3,0.192227239,0.012171485
PHPT1,0.250996791,0.039293758
ENTPD2,2.278851257,0.160497012
LY75,-1.039222651,0.070857511
ARID4B,0.095745743,0.311030891
OPN3,-0.824903128,5.98E-05
SDCCAG8,0.373251245,0.003667911
PTPRN,0.92432431,0.077712646
HHAT,0.253852515,0.228369258
KIF1B,-0.169418953,0.066646944
FOXC1,0.154322024,0.202582197
TBC1D22A,-0.033800991,0.758875455
SYNE2,-0.142399907,0.442529567
PLEKHH1,0.670109513,0.271170673
ATP9A,-0.16498862,0.163275553
CHRDL2,1.510962393,5.55E-08
FAM168A,0.250583197,0.003768792
RELT,0.267796755,0.642548827
GALC,-0.299282456,0.003644256
NOP58,-0.163112529,0.178902402
SZRD1,-0.237017489,0.017417284
KCNH2,1.229833961,0.070068892
CUL1,-0.278876538,0.002872396
FAM114A2,-0.0613472,0.593374307
CYFIP2,1.003057365,6.29E-12
TAB2,-0.076810349,0.446722796
GINM1,-0.268315719,0.001346343
EIF2AK2,0.154843644,0.062295145
USP36,-0.193348435,0.041625242
KMT2C,0.200776057,0.018886223
MCOLN3,0.382041175,0.079001463
CCDC85A,1.378643692,0.004166258
PUM2,-0.138650714,0.119857722
MRPL43,0.064368759,0.599067911
ITIH4,-0.028200177,0.988642707
HPF1,0.169129632,0.267421535
ZFR,-0.163472658,0.033929665
ZNF280C,0.45416638,0.013757834
TRAF1,-0.280300542,0.090745793
RC3H2,-0.368008771,2.24E-05
IL17RB,1.012141477,7.81E-06
TRAF3IP2,-0.260429746,0.042365109
GYG2,-0.251024341,0.085713132
DCBLD2,0.055346194,0.504631447
SOAT1,-0.657621739,4.38E-09
PKP2,-1.969860135,0.001145836
MSH4,0.91762971,0.329641865
F7,-0.909279386,0.27013656
GDI2,-0.002668674,0.973139705
PRDM1,-1.208408233,2.32E-07
ATG5,-0.268198763,0.027257165
TMCC3,-0.875563313,0.051801579
PITHD1,0.065204539,0.590603478
MTA3,0.201018727,0.03535313
USP13,-0.367514041,0.004478535
ATP11B,-0.364592669,2.95E-05
LAMC2,-0.905221224,0.000194689
CDK14,0.008368301,0.936970991
SEC61A1,0.294070398,0.001587704
PPP1R12A,-0.320761114,0.000330007
RASGRF1,0.004343926,0.997899718
CAMK2B,0.475512205,0.755401729
CROCC,-0.036148689,0.727858593
POLR3E,-0.257678428,0.026877095
ATP2B4,0.140714322,0.178508202
ZC3H11A,-0.004895639,0.954877379
RIOK2,0.151197418,0.218771107
YIPF1,-0.39611738,0.000296188
NDC1,0.110334382,0.491280123
FLYWCH1,0.026341023,0.809620875
UNKL,-0.277843691,0.006491102
TBXAS1,0.222992986,0.686157367
PARP12,-0.115496631,0.455279613
ALDH18A1,0.40566186,0.001838752
TARBP1,0.31371492,0.044723435
GATB,0.263646547,0.044710838
MXD1,0.123671038,0.461641145
CDK17,0.312417717,0.003544548
DNAJC25,-0.1120696,0.436853846
SLC2A3,-0.016252727,0.907952087
PSD,0.335295794,0.069851244
CTDP1,-0.2838296,0.016466739
YBX3,-0.501206061,1.36E-05
STYK1,0.563320008,0.769506538
WNK1,0.106761599,0.167496806
CCAR1,-0.014560629,0.895741039
OGFR,-0.114207995,0.216867315
PIGV,-0.243737589,0.062548161
PTPRU,-0.150949533,0.321517885
SNRNP40,0.057245297,0.609945292
COL11A1,-2.427347849,4.04E-51
QSER1,0.145879055,0.151079621
MPC1,-0.450295029,0.00076339
ACAA1,-0.096630503,0.426101911
BCAT1,-0.023877416,0.782242634
HDAC7,-0.587834572,5.37E-13
LZTS1,1.014352074,9.72E-05
PRDM6,0.019862178,0.879600444
SPAG4,-0.385148329,0.140018649
NCKAP1,-0.257046908,0.00760047
MRPS35,-0.239463027,0.032996423
GUCY1B1,0.079583897,0.643974945
SFSWAP,0.093917006,0.327819763
TNK2,0.223084608,0.044809791
MON2,0.103317618,0.253489115
CDH3,-0.217793379,0.895158676
GPBP1,0.160934839,0.080566322
DGAT2,0.347998477,0.466482138
ZNF112,-0.206030075,0.244742073
CS,0.07642784,0.423026501
LTK,0.009624617,0.994685362
MRPS24,0.303109602,0.572667564
ELMO2,-0.169320285,0.096594003
WAPL,-0.088017088,0.31677169
VMP1,-0.548018004,3.94E-09
APPBP2,0.081498075,0.471972883
POLD1,0.379705178,0.053522511
SEZ6,0.236883066,0.878724193
EIF4B,0.024397534,0.776391404
SLC6A16,0.871850606,0.022733555
BICRA,-0.4759788,0.000420266
SPHK2,-0.115638237,0.417179479
RPL18,0.087780178,0.399847474
