p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
2.4284201043611e-09	-0.878140345940683	0.069	0.337	2.4284201043611e-06	0	AES
2.71825946238997e-09	-0.645699854931707	0.16	0.466	2.71825946238997e-06	0	AP5Z1
2.84244830397987e-09	-0.749689529593961	0.137	0.431	2.84244830397987e-06	0	ALDH7A1
3.30874933466216e-09	-1.27519376353415	0.107	0.387	3.30874933466216e-06	0	ACIN1
6.87085179023984e-09	1.01200049604747	0.099	0.379	6.87085179023984e-06	0	AIMP1
7.19421588261462e-09	-1.50635187458009	0.031	0.266	7.19421588261462e-06	0	ARF3
1.20163638163081e-08	-1.37673541922163	0.038	0.274	1.20163638163081e-05	0	AEN
1.43898771710932e-08	-1.24762865994875	0.031	0.262	1.43898771710932e-05	0	ACSL1
1.48933957814113e-08	-1.31827751360333	0.076	0.326	1.48933957814113e-05	0	ADD1
1.64539931487733e-08	-0.536533110990116	0.069	0.316	1.64539931487733e-05	0	ALDH18A1
2.07075168228134e-08	-0.768943218903122	0.046	0.284	2.07075168228134e-05	0	ABCF3
2.22595880784126e-08	-0.645917038719611	0.046	0.284	2.22595880784126e-05	0	APH1A
2.76686937578612e-08	1.54322584507335	0.702	0.749	2.76686937578612e-05	0	ADAM17
3.20060063494801e-08	-1.27424084724998	0.046	0.276	3.20060063494801e-05	0	ACAA1
3.79231436345189e-08	1.21113217828214	0.183	0.496	3.79231436345189e-05	0	ANP32A
4.49240305182719e-08	-1.18270814396343	0.053	0.28	4.49240305182719e-05	0	AQR
5.04467137688633e-08	-1.0234043450319	0.046	0.282	5.04467137688633e-05	0	AATF
5.83013693891052e-08	-0.6100200851429	0.046	0.272	5.83013693891052e-05	0	ADSL
5.89625971917116e-08	-1.205211804992	0.13	0.37	5.89625971917116e-05	0	ACLY
5.94584444089072e-08	-1.3440133171167	0.305	0.515	5.94584444089072e-05	0	AKIRIN1
7.71876915837284e-08	-1.98732374761088	0.038	0.251	7.71876915837284e-05	0	ANKRD13C
8.89798364762246e-08	-1.89046543339425	0.046	0.261	8.89798364762246e-05	0	ACTA2
8.96952240633915e-08	1.93501917288526	0.756	0.726	8.96952240633915e-05	0	AQP6
1.81601535478044e-07	-0.894083638993103	0.053	0.278	0.000181601535478044	0	AIP
1.97685374950931e-07	0.571416426165486	0.374	0.757	0.000197685374950931	0	AKAP9
2.11117574560697e-07	2.43240675247627	0.771	0.801	0.000211117574560697	0	AKAP5
3.56799768465178e-07	-0.820559691483424	0.092	0.307	0.000356799768465178	0	ANXA11
4.27939919960981e-07	1.18225250798733	0.779	0.757	0.000427939919960981	0	APOL1
4.59876119210232e-07	-1.19526868824414	0.053	0.262	0.000459876119210232	0	AKR1B1
7.40017898560107e-07	-0.639840734962175	0.053	0.261	0.000740017898560107	0	ALG5
7.70310679409367e-07	1.1060086176852	0.878	0.874	0.000770310679409367	0	ADAMTS4
9.10218455620952e-07	-0.552601860882005	0.061	0.27	0.000910218455620952	0	ALG2
9.89511537030003e-07	1.47809197972043	0.695	0.72	0.000989511537030002	0	AP1G1
1.0884112450848e-06	-1.07739958003977	0.092	0.299	0.0010884112450848	0	AHCY
1.24299130873838e-06	1.48835091072762	0.626	0.63	0.00124299130873838	0	AMFR
2.04572471661173e-06	-1.00161353975312	0.061	0.255	0.00204572471661173	0	ABHD16A
2.19463440901339e-06	0.553674477418213	0.061	0.261	0.00219463440901339	0	AP1S1
2.31806553832006e-06	0.542943065767095	0.107	0.335	0.00231806553832006	0	ARHGAP5
3.30745690701455e-06	0.871023043232583	0.649	0.579	0.00330745690701455	0	APOBEC3A
3.88388310251896e-06	-1.00913313267132	0.069	0.253	0.00388388310251896	0	ARHGAP12
5.20002261599965e-06	-0.55240574592692	0.069	0.251	0.00520002261599965	0	ACTR6
6.93362936783331e-06	-0.840657088589473	0.084	0.274	0.00693362936783331	0	ABCD3
8.14982255195785e-06	0.635142189250422	0.122	0.343	0.00814982255195785	0	ALG13
8.91843511869166e-06	0.594119637184925	0.076	0.268	0.00891843511869166	0	ALG8
1.06340449376045e-05	1.22669489153856	0.137	0.343	0.0106340449376045	0	ADD3
1.47452556407858e-05	2.16358808480856	0.786	0.807	0.0147452556407858	0	ADRA1A
4.00146360398704e-05	1.34396746002668	0.756	0.808	0.0400146360398704	0	ANKRD10
4.27154722949872e-05	0.726902122422449	0.092	0.282	0.0427154722949872	0	APIP
4.40155301509834e-05	0.669895181461138	0.107	0.301	0.0440155301509834	0	ACBD6
7.21301720068506e-65	3.46372124400098	0.609	0.026	7.21301720068506e-62	1	ARHGAP9
3.18328088538276e-52	2.13244544494058	0.948	0.325	3.18328088538276e-49	1	ARHGDIB
2.19211919993631e-42	2.57442844395919	0.513	0.046	2.19211919993631e-39	1	ARHGAP15
1.11658445551293e-41	3.76612016462437	0.435	0.028	1.11658445551293e-38	1	ACAP1
3.9707420881579e-39	2.47651303848092	0.461	0.037	3.9707420881579e-36	1	AOAH
3.27788459077122e-37	3.03542068099348	0.487	0.056	3.27788459077122e-34	1	APOBEC3G
2.13812205973125e-33	2.71191935126701	0.6	0.126	2.13812205973125e-30	1	ANKRD44
2.36889290820289e-27	3.01897615371872	0.322	0.026	2.36889290820289e-24	1	ARHGAP25
5.73769331029976e-27	2.87362385394571	0.748	0.362	5.73769331029976e-24	1	AKNA
8.63556277537304e-27	2.96520964529634	0.4	0.058	8.63556277537304e-24	1	ARHGAP4
5.66172628495899e-25	-2.07983834471903	0.148	0.704	5.66172628495899e-22	1	APLP2
2.30852375391774e-24	-1.59287206059297	0.487	0.848	2.30852375391774e-21	1	ANXA2
2.68796132018948e-23	-1.77924268270206	0.339	0.825	2.68796132018948e-20	1	ADAM17
7.25557186869563e-23	-2.72014378168297	0.826	0.929	7.25557186869563e-20	1	AFMID
1.59937514510256e-22	2.42971575585548	0.27	0.022	1.59937514510256e-19	1	AGAP2
2.99600201061301e-22	2.22361662811024	0.565	0.178	2.99600201061301e-19	1	ARHGEF1
4.65940643919432e-21	2.59195506523217	0.313	0.043	4.65940643919432e-18	1	APBB1IP
7.81760419872522e-20	1.57146135385663	0.4	0.08	7.81760419872522e-17	1	ALOX5AP
8.9179346656023e-20	-2.9847947334576	0.217	0.66	8.9179346656023e-17	1	AEBP2
2.35203081060155e-19	-2.27992936512605	0.104	0.587	2.35203081060155e-16	1	ACSL3
3.18763452282633e-16	2.40893124703345	0.4	0.108	3.18763452282633e-13	1	ARAP2
3.61257866495219e-16	2.26079551848957	0.443	0.139	3.61257866495219e-13	1	APOBEC3C
8.72984732103387e-16	-3.29676702789823	0.035	0.437	8.72984732103387e-13	1	AK4
1.82282439895562e-15	-3.47067061330894	0.052	0.441	1.82282439895562e-12	1	ALDH7A1
1.04551573857701e-14	-0.949449828516694	0.087	0.502	1.04551573857701e-11	1	ACTN1
4.3612909488069e-14	-1.39010614016511	0.348	0.69	4.3612909488069e-11	1	AMFR
6.14009264250974e-14	-2.14432055232079	0.035	0.414	6.14009264250974e-11	1	APP
3.75062579430342e-13	-3.08099473095039	0.052	0.413	3.75062579430342e-10	1	ABCA1
8.0234447640027e-13	1.63832094430177	0.687	0.413	8.0234447640027e-10	1	AKAP13
1.12662157675083e-12	1.99696968336138	0.678	0.457	1.12662157675083e-09	1	AHNAK
2.94000815279865e-12	-0.901291854840102	0.27	0.664	2.94000815279865e-09	1	ANXA5
3.61384712632376e-12	-0.623996929885823	0.183	0.612	3.61384712632376e-09	1	ANAPC11
4.51642547862911e-12	-3.40018239023083	0.078	0.401	4.51642547862911e-09	1	ADAM9
6.72009047800072e-12	-0.987760606269211	0.4	0.751	6.72009047800072e-09	1	ARF4
6.78487490551384e-12	-1.50111509311399	0.522	0.79	6.78487490551385e-09	1	ANKRD40
8.78703996571172e-12	1.97656401547292	0.252	0.056	8.78703996571172e-09	1	ABCA7
5.9881632286912e-11	-0.729019404056416	0.487	0.764	5.9881632286912e-08	1	AP1G1
1.25692037788917e-10	0.962403060593191	0.93	0.833	1.25692037788917e-07	1	AAK1
1.39255843091401e-10	1.83387890329169	0.461	0.219	1.39255843091401e-07	1	ANXA6
3.35171730761167e-10	-0.964374629550604	0.139	0.493	3.35171730761167e-07	1	ADI1
5.03589897569408e-10	-1.76673806050157	0.061	0.361	5.03589897569408e-07	1	ACTL6A
5.66755714159518e-10	1.31057087593614	0.8	0.721	5.66755714159518e-07	1	APOBEC3D
8.753709930225e-10	2.25522856092861	0.278	0.084	8.753709930225e-07	1	ADCY7
1.48654985678951e-09	-1.10504472903574	0.104	0.426	1.48654985678951e-06	1	ADH5
1.50866416621407e-09	-0.630735509799684	0.548	0.851	1.50866416621407e-06	1	ANKRD10
1.76024119572773e-09	-0.510901188353472	0.043	0.32	1.76024119572773e-06	1	ALYREF
3.94362929352033e-09	-0.993981440884151	0.2	0.53	3.94362929352033e-06	1	ACP1
6.13421650471125e-09	-2.52126852795788	0.009	0.253	6.13421650471125e-06	1	AMOTL2
6.48305505606573e-09	1.21553173166256	0.296	0.102	6.48305505606573e-06	1	ADAM19
1.40157367570721e-08	-0.762509354139505	0.991	0.974	1.40157367570721e-05	1	ANKRD20A9P
1.70434544031784e-08	-2.16070245895565	0.035	0.281	1.70434544031784e-05	1	AKAP1
2.2041051683741e-08	-1.86748609592808	0.026	0.26	2.2041051683741e-05	1	ARHGAP8
3.25707285961143e-08	-1.09455821078263	0.948	0.866	3.25707285961143e-05	1	AP1S3
4.63703053502337e-08	-1.38585109326397	0.165	0.461	4.63703053502337e-05	1	ABRACL
5.32822107862719e-08	-0.601923672901504	0.87	0.783	5.32822107862719e-05	1	ARGFX
6.17525796448345e-08	-1.34627213030786	0.026	0.262	6.17525796448345e-05	1	AP1S1
9.70546132884495e-08	-0.72361863766174	0.861	0.79	9.70546132884495e-05	1	ADRA1A
1.11331024195119e-07	2.25155572806417	0.296	0.121	0.000111331024195119	1	ARHGAP30
1.13367223043595e-07	-1.35470842332083	0.061	0.305	0.000113367223043595	1	ACBD6
2.8643184950977e-07	-1.23293300546118	0.07	0.297	0.00028643184950977	1	AHCY
2.88205200700196e-07	0.746484927907533	0.617	0.444	0.000288205200700196	1	ALDH5A1
3.12975364139672e-07	-1.02343657826815	0.835	0.894	0.000312975364139672	1	ARHGAP1
5.28516902992151e-07	-1.68548019199849	0.061	0.284	0.000528516902992151	1	AGFG1
7.48336126122772e-07	-1.52611609774139	0.617	0.768	0.000748336126122772	1	ACOX1
8.7472121429989e-07	-1.3651726247293	0.078	0.301	0.00087472121429989	1	APTX
1.10637178476503e-06	-0.556841541754852	0.157	0.426	0.00110637178476503	1	ACBD3
1.3088986859949e-06	-0.520439613862072	0.122	0.374	0.0013088986859949	1	APEX1
1.43018407227287e-06	1.24766860954224	0.852	0.755	0.00143018407227287	1	ADAT1
1.65901121234665e-06	1.75740667897185	0.739	0.651	0.00165901121234665	1	APOBEC3F
2.80526858902237e-06	-2.27808298741483	0.096	0.288	0.00280526858902237	1	APBB2
2.81964441249528e-06	-0.704021029700642	0.774	0.606	0.00281964441249528	1	ABCA9
3.52359429322596e-06	-0.769117361199252	0.243	0.506	0.00352359429322596	1	AMD1
4.11649257456634e-06	-0.509732487468527	0.061	0.27	0.00411649257456634	1	AARS
4.2714576183887e-06	-0.743827817767182	0.087	0.305	0.0042714576183887	1	ALDH18A1
4.64175361986549e-06	-0.630281517903578	0.07	0.277	0.00464175361986549	1	ACVR2A
6.71072381890522e-06	-1.32128300199353	0.096	0.296	0.00671072381890522	1	AFG3L2
8.95855794024518e-06	-2.32515704592305	0.452	0.625	0.00895855794024518	1	ANP32E
1.31944711610195e-05	-0.674086313419491	0.078	0.279	0.0131944711610195	1	ARHGAP21
3.48443338402775e-05	-0.964378551537732	0.13	0.323	0.0348443338402775	1	ARHGAP5
3.73041102213595e-05	1.20526904810022	0.687	0.578	0.0373041102213595	1	ADAR
4.00858807408428e-05	-0.849554014740192	0.096	0.286	0.0400858807408428	1	AP1AR
1.78629614540521e-35	1.09992650362729	0.981	0.507	1.78629614540521e-32	2	AEBP2
4.20974684406304e-35	1.51746558670695	0.922	0.533	4.20974684406304e-32	2	ANP32E
8.06711724706748e-26	0.868099528032797	0.66	0.198	8.06711724706748e-23	2	ALYREF
9.06267315527193e-26	1.36830186451781	0.845	0.438	9.06267315527193e-23	2	ACSL3
4.22777174808592e-24	1.13734014329471	0.903	0.649	4.22777174808592e-21	2	ARF4
1.61604606592055e-23	0.873948303712403	0.767	0.342	1.61604606592055e-20	2	ABRACL
5.74606631228606e-22	1.08949911064421	0.874	0.489	5.74606631228606e-19	2	AK2
3.36898818586076e-20	0.945298583978008	0.903	0.713	3.36898818586076e-17	2	ANKRD40
4.69266093749376e-20	-3.84276577552454	0.068	0.576	4.69266093749376e-17	2	AHNAK
6.46383655106104e-18	1.47216790032134	0.689	0.373	6.46383655106104e-15	2	API5
4.27128725665439e-17	1.01284456377911	0.981	0.804	4.27128725665439e-14	2	ARF6
5.01320251826662e-17	1.12680495954226	0.913	0.709	5.01320251826662e-14	2	ACOX1
3.54984636656261e-15	1.1363182395112	0.524	0.191	3.54984636656261e-12	2	APIP
6.40947665517978e-15	0.703205013840026	0.845	0.478	6.40947665517978e-12	2	ANAPC11
4.74895058979528e-13	1.37011558640068	0.495	0.198	4.74895058979528e-10	2	AGFG1
1.097081899941e-12	0.989913726791106	0.689	0.382	1.097081899941e-09	2	ADI1
2.32075526312625e-12	-1.94092279910598	0.68	0.882	2.32075526312625e-09	2	AAK1
1.06561043320604e-11	-1.40427678958251	0.922	0.978	1.06561043320604e-08	2	ABCC9
1.16630657327858e-11	1.09766337088763	0.515	0.22	1.16630657327858e-08	2	ALDH18A1
2.23524187485408e-11	-4.76109103547827	0.01	0.338	2.23524187485408e-08	2	A2M
3.3428520289968e-11	0.802560904156009	0.621	0.322	3.3428520289968e-08	2	ADH5
5.00334640197062e-11	0.694982776365457	0.612	0.262	5.00334640197062e-08	2	AAGAB
5.54042960994231e-11	0.896089867393222	0.65	0.313	5.54042960994231e-08	2	AK4
8.32978348210703e-11	-1.92292911589308	0.981	0.976	8.32978348210703e-08	2	ANKRD20A9P
1.57643498983054e-10	-0.545880394359538	1	0.969	1.57643498983054e-07	2	ACTB
4.43276303154295e-10	0.589668595262622	0.641	0.322	4.43276303154295e-07	2	ALDH7A1
6.18313494768879e-10	-1.13999870936122	0.67	0.905	6.18313494768879e-07	2	AP4S1
7.03677496734229e-10	-1.67227732426372	0.184	0.513	7.03677496734229e-07	2	AKAP13
9.05729943637686e-10	0.781440622121867	0.631	0.331	9.05729943637686e-07	2	ACBD3
1.00101939412632e-09	0.836891051795436	0.456	0.196	1.00101939412632e-06	2	AKAP1
1.75389166203733e-09	-0.976766565929093	0.379	0.66	1.75389166203733e-06	2	AASS
2.5402491078746e-09	-2.55234821992644	0.087	0.38	2.5402491078746e-06	2	AP2B1
3.14777836274415e-09	-1.25877347452482	0.612	0.833	3.14777836274415e-06	2	ARGFX
3.26201773239993e-09	0.889354627562973	0.66	0.393	3.26201773239993e-06	2	AHSA1
4.77407717160237e-09	1.56041233382835	0.379	0.147	4.77407717160237e-06	2	AGPS
5.07508160630407e-09	-1.44532994638379	0.515	0.807	5.07508160630407e-06	2	APOL1
7.65893888634735e-09	-1.33391860631661	0.553	0.849	7.65893888634735e-06	2	ADRA1A
8.91531605179011e-09	-2.52515005424287	0.194	0.475	8.91531605179011e-06	2	AKNA
1.06718329976146e-08	0.709227994435351	0.68	0.433	1.06718329976146e-05	2	ACP1
1.63869354702278e-08	1.20007902773229	0.301	0.102	1.63869354702278e-05	2	APOO
3.0712007100133e-08	1.16039943574045	0.689	0.52	3.0712007100133e-05	2	ABI1
3.2094555597592e-08	0.814278845886748	0.456	0.225	3.2094555597592e-05	2	ACBD6
6.06335019034444e-08	-1.19750520917487	0.718	0.911	6.06335019034444e-05	2	AP1S3
8.27593338532159e-08	-1.09791608728829	0.408	0.678	8.27593338532159e-05	2	ABCA9
1.19065570857276e-07	1.16660238238592	0.485	0.265	0.000119065570857276	2	ACADM
2.29036071205819e-07	0.860939658256662	0.505	0.295	0.000229036071205819	2	ACAT1
2.77208649297172e-07	1.03860912009069	0.427	0.216	0.000277208649297172	2	ANK3
4.05882639077769e-07	-0.986499409738068	0.699	0.907	0.000405882639077769	2	ADAMTS4
4.13877860302162e-07	-0.707126761240594	0.252	0.516	0.000413877860302162	2	ANKLE1
5.31772068738231e-07	-1.67465621675693	0.087	0.333	0.000531772068738231	2	ABLIM1
5.63483695396574e-07	-2.38575778764897	0.068	0.298	0.000563483695396574	2	ANXA6
6.02851478487645e-07	0.927538955637727	0.476	0.276	0.000602851478487645	2	ACTL6A
7.09366716735534e-07	-0.643515134758829	0.243	0.493	0.000709366716735534	2	ARHGDIA
7.39386057769766e-07	1.14164912301408	0.408	0.205	0.000739386057769766	2	AASDHPPT
7.71867483629729e-07	-1.21505266616493	0.553	0.813	0.000771867483629729	2	ADAT1
9.02120597273635e-07	1.82940229347353	0.612	0.473	0.000902120597273635	2	AIFM1
9.14686281344297e-07	-1.02525178609633	0.505	0.775	0.000914686281344297	2	AQP6
1.04564092720941e-06	-2.12122854258942	0.311	0.527	0.00104564092720941	2	AFF3
1.15828325002019e-06	-0.847237141097485	0.184	0.445	0.00115828325002019	2	AP5Z1
1.26114413457092e-06	0.564558183541222	0.592	0.36	0.00126114413457092	2	ACOT13
1.89325994832254e-06	-1.317055234602	0.107	0.338	0.00189325994832254	2	AFF4
2.0825216872672e-06	-1.70611754508559	0.369	0.622	0.0020825216872672	2	APAF1
2.08461793834325e-06	-0.73861048001253	0.602	0.784	0.00208461793834325	2	ANKRD36B
2.43693980087545e-06	-2.18307564354273	0.272	0.465	0.00243693980087545	2	ARHGDIB
2.87248460933768e-06	-1.76521196826859	0.068	0.28	0.00287248460933768	2	ARHGEF1
3.74189978812863e-06	0.743075291923896	0.495	0.293	0.00374189978812863	2	AHCTF1
4.27968860500923e-06	-1.63555988294145	0.583	0.835	0.00427968860500923	2	AKAP5
7.32732530027561e-06	-1.51425124146723	0.097	0.309	0.00732732530027561	2	ADD1
7.54095851791005e-06	0.637337258618853	0.369	0.193	0.00754095851791005	2	AP1S1
8.03696982993422e-06	1.0056556372339	0.447	0.275	0.00803696982993422	2	AMZ2
8.91286131318018e-06	0.555620717540257	0.738	0.504	0.00891286131318018	2	ANXA7
1.09633162057026e-05	0.903987496974566	0.272	0.111	0.0109633162057026	2	AP1M2
1.89921124486237e-05	0.978305710067184	0.466	0.316	0.0189921124486237	2	ABCE1
2.47039471026077e-05	-0.611814747847394	0.35	0.562	0.0247039471026077	2	ANKS4B
2.529753577879e-05	-1.49797734616754	0.136	0.335	0.02529753577879	2	AKT2
2.63623656310201e-05	0.5811426113078	0.35	0.173	0.0263623656310201	2	ALAS1
2.77265493924998e-05	-1.01810197801156	0.466	0.682	0.0277265493924998	2	ACADSB
2.81991077122476e-05	-1.04990789015219	0.311	0.536	0.0281991077122476	2	ANKRD36
2.93669067080983e-05	-0.797003562733633	0.379	0.578	0.0293669067080983	2	ABCB5
3.48242020855009e-05	0.721780590597117	0.272	0.118	0.0348242020855009	2	ALDH2
3.86760642656104e-05	0.575048027577541	0.456	0.28	0.0386760642656104	2	ADK
1.68265068691264e-41	3.94722045492028	0.67	0.136	1.68265068691264e-38	3	ACTA2
1.01044670893285e-37	3.25123005339311	0.36	0.014	1.01044670893285e-34	3	ANGPTL2
1.45194935800927e-34	1.85668332386894	0.73	0.206	1.45194935800927e-31	3	A2M
1.78540913456152e-31	2.95055297674519	0.46	0.061	1.78540913456152e-28	3	AEBP1
9.34637754574261e-24	2.05295157166553	0.37	0.049	9.34637754574261e-21	3	AQP1
1.2685808300378e-22	3.04347473651413	0.53	0.146	1.2685808300378e-19	3	APOD
7.95175510521271e-16	1.59712586351305	0.7	0.38	7.95175510521271e-13	3	ACTN1
6.55699835765121e-15	2.62018734527896	0.44	0.137	6.55699835765121e-12	3	ANTXR1
1.25008606413291e-14	-2.91753039904512	0.05	0.474	1.25008606413291e-11	3	ABRACL
2.23843825085161e-13	2.54892698104032	0.27	0.054	2.23843825085161e-10	3	AHNAK2
4.98368425656172e-13	1.60313776689136	0.26	0.049	4.98368425656172e-10	3	ADAM12
7.2626567616433e-12	1.89551644292626	0.41	0.136	7.2626567616433e-09	3	ADAMTS1
8.36852971694797e-12	1.61753568747406	0.34	0.098	8.36852971694797e-09	3	ACTG2
9.75302836189791e-12	-2.67261509122904	0.34	0.626	9.75302836189791e-09	3	AEBP2
2.01241244282221e-10	-1.57428015481306	0.66	0.863	2.01241244282221e-07	3	ARF6
2.51224909134785e-10	-1.87805822089589	0.14	0.488	2.51224909134785e-07	3	ARHGDIB
4.34345293117368e-10	-0.908509249410859	0.49	0.756	4.34345293117368e-07	3	AP1G1
9.2311984549678e-10	1.90810895023062	0.35	0.127	9.2311984549678e-07	3	ANO1
5.31015322714284e-09	-1.78418567201295	0.83	0.926	5.31015322714284e-06	3	AFMID
7.30707650150988e-09	0.905416021349974	0.82	0.579	7.30707650150988e-06	3	AASS
1.13255030792527e-08	2.11355978626506	0.31	0.108	1.13255030792527e-05	3	AMOTL1
1.15533784123229e-08	-1.17864718619258	0.11	0.421	1.15533784123229e-05	3	ADRM1
5.26660772118439e-08	-2.54755487653279	0.42	0.626	5.26660772118439e-05	3	ANP32E
5.64825874433815e-08	-1.18608429328135	0.43	0.665	5.64825874433815e-05	3	AMFR
9.39445432946385e-08	-1.82754019364296	0.03	0.284	9.39445432946385e-05	3	AGFG1
2.0064700256781e-07	0.907066681331097	0.32	0.127	0.00020064700256781	3	APOE
5.13999292903906e-07	-2.06678163876637	0.05	0.286	0.000513999292903906	3	ANK3
8.5004262946162e-07	-1.36907559712356	0.21	0.474	0.00085004262946162	3	ANP32A
1.02162930700321e-06	-1.33347863430709	0.35	0.582	0.00102162930700321	3	ABI1
1.83622711025926e-06	-1.13571183570656	0.11	0.36	0.00183622711025926	3	ACLY
2.72751679865951e-06	0.741410258035629	0.41	0.21	0.00272751679865951	3	ACVR2A
2.79752228622491e-06	-0.913206425285644	0.11	0.354	0.00279752228622491	3	AAGAB
3.97301864824437e-06	-1.23957415359188	0.13	0.36	0.00397301864824437	3	AHCTF1
4.06976436466215e-06	1.00448802551646	0.3	0.128	0.00406976436466215	3	AKAP12
4.14389740023676e-06	0.667544490015694	0.36	0.161	0.00414389740023675	3	ADIRF
4.21285864624666e-06	-1.38767026347321	0.15	0.374	0.00421285864624666	3	ABCE1
4.81479675278621e-06	-1.13321749734253	0.4	0.577	0.00481479675278621	3	AK2
4.8357600360584e-06	-1.53949154176123	0.33	0.533	0.00483576003605839	3	ACSL3
5.8181877096967e-06	-1.12640020945172	0.2	0.432	0.0058181877096967	3	ACOT13
7.58806352855e-06	-0.760598076841535	0.26	0.51	0.00758806352855	3	ACP1
3.17474830342575e-05	-1.16861731464322	0.13	0.335	0.0317474830342575	3	ADSS
3.52811137461201e-05	-1.9833062185992	0.14	0.331	0.0352811137461201	3	AMZ2
3.93843631987741e-05	-1.14168209549744	0.21	0.427	0.0393843631987741	3	ACTR2
4.75855026851584e-05	-1.27206004256499	0.12	0.316	0.0475855026851584	3	ADAM10
1.53647441322811e-53	2.29114605433592	0.75	0.078	1.53647441322811e-50	4	AIF1L
5.13846635037656e-49	1.85792177938058	0.684	0.066	5.13846635037656e-46	4	AMN1
1.9689500886021e-43	1.08777104612847	0.408	0.012	1.9689500886021e-40	4	APCDD1L-AS1
1.71826115906072e-42	1.19515189206173	0.75	0.104	1.71826115906072e-39	4	AKT3
4.23824306767636e-39	1.07382761734174	0.803	0.139	4.23824306767636e-36	4	ADIPOR2
6.72489610304728e-36	1.23739707864232	0.382	0.017	6.72489610304728e-33	4	AKR1C2
6.8698855034017e-35	1.15621152708253	0.658	0.095	6.8698855034017e-32	4	ADNP
9.07949581317603e-34	1.72672345929838	0.895	0.26	9.07949581317603e-31	4	ANKRD36BP1
