word	freq
advantage	1
advisers	1
after	1
agricultural	1
aground	1
allocated	1
allocations	1
allow	1
almost	1
already	1
althani	1
although	1
alvite	1
amidst	1
analysis	1
analyst	1
annual	1
anything	1
apparent	1
aramco	1
argentine	1
arrangement	1
asia	1
asian	1
assesses	1
assign	1
assigned	1
associates	1
attract	1
available	1
averaging	1
aware	1
bahrain	1
bahrains	1
balance	1
baseless	1
basic	1
basis	1
because	1
beginning	1
bijan	1
bin	1
bit	1
bodys	1
briefly	1
broadened	1
brothers	1
buildings	1
burden	1
buy	1
buyer	1
calendar	1
cambridge	1
capacity	1
capozza	1
carrying	1
center	1
century	1
cera	1
certain	1
cftc	1
chairman	1
challenge	1
characterized	1
charging	1
cheap	1
cheating	1
chevron	1
chv	1
cited	1
citing	1
clever	1
close	1
closer	1
closes	1
coming	1
commission	1
communications	1
companys	1
completed	1
complex	1
condition	1
conditions	1
considered	1
construction	1
contacts	1
continuation	1
continue	1
continued	1
continues	1
contracted	1
contributed	1
control	1
cooperation	1
coordination	1
copany	1
corps	1
council	1
counter	1
coupled	1
covered	1
creek	1
critical	1
cts	1
currency	1
custom	1
cuts	1
cutting	1
cypriot	1
daniel	1
david	1
days	1
debtburdened	1
debut	1
decided	1
declared	1
declines	1
deemed	1
defence	1
delaware	1
delivered	1
delivering	1
departments	1
deregulate	1
deregulation	1
determination	1
devalue	1
device	1
differential	1
difficulty	1
dillard	1
director	1
discuss	1
discussing	1
distribution	1
distributions	1
divided	1
doha	1
dollar	1
drawbacks	1
drop	1
dropped	1
earlier	1
earnings	1
eastern	1
easy	1
ecuadors	1
editor	1
edmontonswann	1
education	1
eight	1
either	1
elaborate	1
elections	1
electricity	1
end	1
engineers	1
entitlements	1
environment	1
equally	1
estimated	1
european	1
exceed	1
exceeding	1
excess	1
excesses	1
excessive	1
exerted	1
exist	1
expanded	1
expansion	1
expartners	1
expectations	1
expects	1
explained	1
exporting	1
exxon	1
face	1
faced	1
faces	1
facilities	1
facing	1
failed	1
fallen	1
favours	1
fee	1
fernando	1
figure	1
figures	1
finance	1
firmer	1
floating	1
followed	1
for	1
forces	1
foremost	1
fourth	1
frank	1
full	1
fundamentals	1
gas	1
generally	1
geneva	1
get	1
globalization	1
glut	1
guaranteed	1
halting	1
harvard	1
heads	1
health	1
hedge	1
hedged	1
helped	1
hemisphere	1
highly	1
hills	1
hitting	1
hoped	1
housing	1
houston	1
immediately	1
implementation	1
improve	1
improvement	1
include	1
including	1
independent	1
indications	1
initiate	1
initiative	1
institutions	1
interbank	1
interest	1
investments	1
issue	1
jamaica	1
jan	1
juaymah	1
jubail	1
jump	1
just	1
khalifa	1
lack	1
largest	1
later	1
latest	1
launched	1
lead	1
leading	1
learn	1
least	1
lending	1
less	1
lesson	1
level	1
liberalised	1
lift	1
liftings	1
like	1
lines	1
liquidity	1
little	1
loan	1
lodged	1
longterm	1
ltd	1
lukman	1
lull	1
maintain	1
make	1
manager	1
manipulate	1
many	1
marathon	1
marathons	1
marker	1
mcfadden	1
means	1
mercantile	1
metrers	1
metres	1
mid1960s	1
mid1986	1
mideast	1
minus	1
mlotok	1
mob	1
mobil	1
momentum	1
money	1
monopolies	1
monthend	1
moussavarrahmani	1
movement	1
nation	1
natural	1
need	1
needs	1
negative	1
negotiate	1
neither	1
network	1
news	1
newspaper	1
nigerian	1
nine	1
nonoil	1
northern	1
notes	1
offset	1
onetwelfth	1
oneweek	1
open	1
opens	1
operations	1
opposite	1
optimism	1
optimistic	1
option	1
order	1
organiaation	1
our	1
outlining	1
outside	1
overproducing	1
part	1
parties	1
partly	1
party	1
past	1
paths	1
paul	1
paulsboro	1
payments	1
pegged	1
performance	1
period	1
pertains	1
pessimistic	1
philadelphia	1
physical	1
placed	1
plastics	1
platinum	1
point	1
policies	1
political	1
population	1
positions	1
postponed	1
pressures	1
previous	1
primarily	1
primary	1
principal	1
procedure	1
produce	1
produced	1
producers	1
product	1
products	1
program	1
projection	1
projects	1
prompted	1
proposed	1
proved	1
providing	1
provision	1
publish	1
purposes	1
quarter	1
quiet	1
quietly	1
quotas	1
rallied	1
ran	1
ranging	1
ras	1
rates	1
rationalise	1
readdress	1
reaffirmed	1
reasonable	1
recommending	1
recovering	1
recurrent	1
reference	1
refineries	1
refining	1
reflect	1
refloat	1
reform	1
reforms	1
regain	1
regard	1
regarding	1
region	1
regional	1
reiterate	1
relaxation	1
relieve	1
reluctant	1
remainder	1
remained	1
reported	1
request	1
resistance	1
resisting	1
resources	1
respectively	1
responsibilites	1
restored	1
restraint	1
restrictions	1
result	1
reuters	1
revealed	1
reviews	1
right	1
rilwanu	1
rising	1
river	1
rocks	1
rosemary	1
rumour	1
rushing	1
sales	1
salomon	1
santos	1
satisfied	1
saw	1
scheduled	1
scheme	1
seapride	1
season	1
secretary	1
security	1
seeing	1
seek	1
september	1
series	1
serve	1
services	1
session	1
sets	1
seven	1
severely	1
shamrock	1
sharply	1
shoulder	1
show	1
showed	1
shown	1
signed	1
signs	1
situation	1
sixmonth	1
slackens	1
slide	1
slump	1
social	1
sold	1
soon	1
sort	1
sour	1
south	1
southeast	1
spend	1
spill	1
spoke	1
spokesman	1
spotnext	1
spriggs	1
stabilise	1
stabilize	1
stable	1
start	1
statement	1
steel	1
steering	1
steps	1
stiff	1
storage	1
strong	1
subsequently	1
substitution	1
succeed	1
suffer	1
suffering	1
suhartos	1
sunday	1
sundays	1
supply	1
supporting	1
suppose	1
surrounding	1
swift	1
talks	1
tanker	1
tanurah	1
tapers	1
teach	1
telephone	1
terminals	1
test	1
there	1
third	1
thomas	1
though	1
thought	1
threemonth	1
tide	1
together	1
told	1
totalled	1
tower	1
trader	1
trades	1
traditional	1
traditionally	1
transacted	1
transmission	1
transport	1
trends	1
trusts	1
try	1
turmoil	1
twofold	1
uae	1
uncertain	1
unchanged	1
under	1
unions	1
unitholders	1
universitys	1
unlikely	1
unocal	1
unusually	1
urged	1
use	1
virtual	1
wants	1
water	1
wealth	1
wednesday	1
weekend	1
welcomed	1
when	1
whether	1
wishes	1
worldwide	1
xon	1
yergin	1
yesterdays	1
