chr	start	end
Chr1	720629	723317
Chr1	723693	726321
Chr1	728977	730930
Chr1	731149	738020
Chr1	738281	741794
Chr1	742272	745156
Chr1	745452	748945
Chr1	752080	754992
Chr1	767169	769681
Chr1	770332	773851
Chr1	774727	779237
Chr1	781442	784424
Chr1	786171	788619
Chr1	789967	792411
Chr1	794499	795413
Chr1	796842	797533
Chr1	804084	806932
Chr1	807850	809721
Chr1	839809	842757
Chr1	843530	847454
Chr1	852249	854568
Chr1	857957	860583
Chr1	862579	865253
Chr1	865966	869063
Chr1	870318	874817
Chr1	911735	914246
Chr1	915639	919674
Chr1	920992	923630
Chr1	924451	925175
Chr1	929883	934914
Chr1	935574	938367
Chr1	954075	956817
Chr1	957907	960626
Chr1	961681	965151
Chr1	969308	973327
Chr1	976766	980431
Chr1	984301	986760
Chr1	987591	990647
Chr1	994710	997262
Chr1	997963	1000997
Chr1	1001292	1001770
Chr1	1002459	1007068
Chr1	1010259	1012410
Chr1	1016065	1019545
Chr1	1024184	1030112
Chr1	1046604	1053166
Chr1	1057137	1059856
Chr1	1066448	1069826
Chr1	1071962	1075030
Chr1	1078511	1081702
Chr1	1089743	1093528
Chr1	1097580	1098942
Chr1	1103782	1106890
Chr1	1120319	1126749
Chr1	1137241	1137624
Chr1	1143557	1144497
Chr1	1145829	1155094
Chr1	1155213	1158601
Chr1	1160152	1164635
Chr1	1165737	1168415
Chr1	1168647	1171130
Chr1	1171809	1179372
Chr1	1181158	1182158
Chr1	1183394	1186707
Chr1	1186260	1191013
Chr1	1198687	1203506
Chr1	1217006	1218122
Chr1	1222905	1230507
Chr1	1232473	1236942
Chr1	1238623	1242351
Chr1	1254028	1255635
Chr1	1264356	1265273
Chr1	1301527	1302921
Chr1	1313236	1314274
Chr1	1315268	1315477
Chr1	1315823	1319863
Chr1	1328172	1329169
Chr1	1330804	1332398
Chr1	1333752	1334739
Chr1	1335864	1337407
Chr1	1338229	1339139
Chr1	1341319	1342277
Chr1	1344557	1346419
Chr1	1347567	1348786
Chr1	1350820	1351107
Chr1	1353629	1354802
Chr1	1356601	1361257
Chr1	1363516	1364303
Chr1	1365508	1366503
Chr1	1368891	1369792
Chr1	1372963	1374138
Chr1	1375169	1377242
Chr1	1379691	1382143
Chr1	1395980	1396769
Chr1	1401504	1403598
Chr1	1404155	1407187
Chr1	1410987	1413093
Chr1	1413839	1419043
Chr1	1421693	1428049
Chr1	1433033	1436811
Chr1	1437163	1445689
Chr1	1446849	1450473
Chr1	1457947	1459982
Chr1	1486400	1488897
Chr1	1490473	1492684
Chr1	1497240	1500609
Chr1	1503993	1508057
Chr1	1508235	1512752
Chr1	1513136	1514467
Chr1	1515837	1516832
Chr1	1518245	1521644
Chr1	1534135	1539627
Chr1	1549229	1551011
Chr1	1566138	1569472
Chr1	1562612	1566554
Chr1	1569585	1570939
Chr1	1571420	1576753
Chr1	1580843	1582345
Chr1	1597486	1598510
Chr1	1597486	1604610
Chr1	1625159	1626771
Chr1	1641234	1644237
Chr1	1657315	1658388
Chr1	1670322	1670997
Chr1	1673010	1680632
Chr1	1681410	1681813
Chr1	1684741	1685880
Chr1	1698203	1703090
Chr1	1707539	1707939
Chr1	1710239	1710550
Chr1	1711930	1712947
Chr1	1718965	1719370
Chr1	1731553	1731945
Chr1	1733867	1738307
Chr1	1738965	1739492
Chr1	1746416	1748549
Chr1	1754332	1757728
Chr1	1757812	1758730
Chr1	1760140	1761135
Chr1	1765034	1768669
Chr1	1771369	1772410
Chr1	1775917	1778105
Chr1	1781075	1782386
Chr1	1787870	1791498
Chr1	1801924	1806267
Chr1	1815769	1817554
Chr1	1819528	1822516
Chr1	1834110	1837733
Chr1	1838170	1839194
Chr1	1843814	1849186
Chr1	1849834	1856303
Chr1	1857104	1858452
Chr1	1864478	1866109
Chr1	1867936	1870390
Chr1	1876913	1879903
Chr1	1888524	1892298
Chr1	1897077	1897316
Chr1	1902736	1905247
Chr1	1906978	1909667
Chr1	1912561	1915094
Chr1	1928166	1930290
Chr1	1930994	1931904
Chr1	1934117	1935048
Chr1	1941003	1941953
Chr1	1944247	1945035
Chr1	1948737	1949587
Chr1	1951928	1952771
Chr1	1955148	1955925
Chr1	1957777	1967451
Chr1	1968323	1970538
Chr1	1973699	1977191
Chr1	1977423	1982484
Chr1	1984267	1986394
Chr1	1988731	1991248
Chr1	1993515	1996857
Chr1	1998427	2002855
Chr1	2003219	2003916
Chr1	2006152	2007254
Chr1	2014821	2018057
Chr1	2021415	2022167
Chr1	2023879	2026177
Chr1	2036118	2038198
Chr1	2041300	2042770
Chr1	2048717	2052521
Chr1	2053583	2057638
Chr1	2059309	2062277
Chr1	2063612	2066083
Chr1	2068588	2069263
Chr1	2071830	2073621
Chr1	2074753	2077903
Chr1	2080105	2081540
Chr1	2083681	2087226
Chr1	2097192	2100694
Chr1	2101874	2102672
Chr1	2108947	2109635
Chr1	2111026	2111651
Chr1	2120381	2122366
Chr1	2130798	2137310
Chr1	2137763	2138996
Chr1	2140865	2142091
Chr1	2154326	2155994
Chr1	2162723	2162971
Chr1	2202264	2203860
Chr1	2215586	2222837
Chr1	2224683	2225060
Chr1	2226000	2229526
Chr1	2245732	2250576
Chr1	2250820	2255073
Chr1	2261455	2266908
Chr1	2265477	2271051
Chr1	2271163	2273757
Chr1	2275067	2278872
Chr1	2281534	2285053
Chr1	2292111	2298407
Chr1	2328624	2328856
Chr1	2349919	2353502
Chr1	2356183	2357045
Chr1	2357769	2360444
Chr1	2361799	2363814
Chr1	2369529	2371316
Chr1	2372323	2374066
Chr1	2374472	2376768
Chr1	2377322	2377980
Chr1	2378810	2382690
Chr1	2383530	2385638
Chr1	2386373	2388611
Chr1	2388208	2390483
Chr1	2393480	2398292
Chr1	2400945	2402884
Chr1	2403270	2405982
Chr1	2406438	2408067
Chr1	2414271	2415072
Chr1	2419659	2420162
Chr1	2422242	2422914
Chr1	2434793	2438774
Chr1	2448716	2449048
Chr1	2452591	2453586
Chr1	2474556	2475156
Chr1	2478076	2480001
Chr1	2487387	2487986
Chr1	2488387	2491433
Chr1	2498269	2498740
Chr1	2500280	2501249
Chr1	2514678	2515682
Chr1	2520384	2522110
Chr1	2529389	2532475
Chr1	2535300	2535680
Chr1	2542013	2542732
Chr1	2547915	2548298
Chr1	2550946	2552121
Chr1	2553620	2554021
Chr1	2560858	2565373
Chr1	2568051	2570029
Chr1	2570072	2571997
Chr1	2573049	2574201
Chr1	2575583	2578210
Chr1	2579552	2583575
Chr1	2584986	2589023
Chr1	2589537	2593641
Chr1	2599850	2612865
Chr1	2613656	2623196
Chr1	2629374	2630050
Chr1	2632554	2638081
Chr1	2640937	2644665
Chr1	2651134	2651589
Chr1	2652648	2655639
Chr1	2660822	2661301
Chr1	2663539	2664072
Chr1	2665412	2666458
Chr1	2669952	2672924
Chr1	2674400	2675373
Chr1	2682019	2684988
Chr1	2686729	2687700
Chr1	2688623	2692186
Chr1	2693134	2695085
Chr1	2698928	2704553
Chr1	2707498	2711428
Chr1	2713412	2716075
Chr1	2719212	2720873
Chr1	2722518	2724797
Chr1	2728135	2730972
Chr1	2742507	2747439
Chr1	2752218	2753012
Chr1	2753790	2757078
Chr1	2759369	2761393
Chr1	2765773	2768644
Chr1	2770140	2774609
Chr1	2776973	2781775
Chr1	2783189	2790454
Chr1	2791224	2795865
Chr1	2800436	2803742
Chr1	2803779	2804844
Chr1	2805584	2808152
Chr1	2810313	2815017
Chr1	2815175	2816401
Chr1	2817650	2818897
Chr1	2820036	2838580
Chr1	2830325	2836425
Chr1	2839934	2843514
Chr1	2844429	2858134
Chr1	2851954	2855225
Chr1	2862560	2867272
Chr1	2872110	2872988
Chr1	2877647	2882686
Chr1	2885425	2886301
Chr1	2887060	2888434
Chr1	2892919	2894707
Chr1	2896685	2898069
Chr1	2899038	2899896
Chr1	2901602	2903619
Chr1	2907052	2907920
Chr1	2920425	2921319
Chr1	2922643	2925024
Chr1	2925935	2928765
Chr1	2930802	2932892
Chr1	2950097	2953013
Chr1	2954514	2955504
Chr1	2957066	2958443
Chr1	2961194	2961469
Chr1	2962422	2964917
Chr1	2966324	2967346
Chr1	2969154	2970731
Chr1	2971125	2979313
Chr1	2982483	2986968
Chr1	2985356	2989299
Chr1	2999576	3001204
Chr1	3003658	3005728
Chr1	3013892	3014751
Chr1	3015845	3016417
Chr1	3016864	3021484
Chr1	3025830	3026390
Chr1	3026813	3028081
Chr1	3030594	3031163
Chr1	3031479	3033009
Chr1	3034228	3034788
Chr1	3035059	3035691
Chr1	3036471	3037289
Chr1	3037689	3039157
Chr1	3039298	3041232
Chr1	3041412	3044348
Chr1	3044483	3047221
Chr1	3047504	3051989
Chr1	3054465	3057198
Chr1	3058543	3059717
Chr1	3060994	3066189
Chr1	3067323	3071243
Chr1	3083395	3084568
Chr1	3085406	3090887
Chr1	3091123	3092865
Chr1	3095210	3095930
Chr1	3097346	3098527
Chr1	3099428	3105235
Chr1	3108117	3113963
Chr1	3122888	3124069
Chr1	3124351	3125325
Chr1	3128992	3130722
Chr1	3136104	3140217
Chr1	3143601	3146812
Chr1	3176544	3179602
Chr1	3181950	3185346
Chr1	3188757	3190330
Chr1	3196986	3200010
Chr1	3201223	3204252
Chr1	3222303	3226257
Chr1	3229084	3229782
Chr1	3235987	3237799
Chr1	3241127	3243315
Chr1	3251204	3252724
Chr1	3256822	3257901
Chr1	3257944	3258893
Chr1	3259438	3262454
Chr1	3272839	3276416
Chr1	3277305	3277805
Chr1	3282976	3286357
Chr1	3288323	3288890
Chr1	3289733	3290197
Chr1	3290761	3291611
Chr1	3292985	3293489
Chr1	3294624	3295212
Chr1	3297850	3298410
Chr1	3300442	3301010
Chr1	3303523	3304092
Chr1	3306319	3306894
Chr1	3312462	3313273
Chr1	3315002	3315609
Chr1	3317554	3318111
Chr1	3320451	3321035
Chr1	3322774	3328256
Chr1	3328533	3331963
Chr1	3332952	3336075
Chr1	3336408	3342886
Chr1	3345203	3355066
Chr1	3356383	3361204
Chr1	3358521	3360676
Chr1	3361963	3367663
Chr1	3376593	3377205
Chr1	3380727	3382058
Chr1	3386907	3390756
Chr1	3391757	3393011
Chr1	3395762	3396310
Chr1	3397337	3400518
Chr1	3401288	3407358
Chr1	3414659	3415986
Chr1	3422011	3425559
Chr1	3425737	3429654
Chr1	3431606	3435618
Chr1	3445159	3446607
Chr1	3446936	3450222
Chr1	3455254	3456059
Chr1	3456200	3464954
Chr1	3465634	3467520
Chr1	3473760	3477924
Chr1	3478537	3478980
Chr1	3479338	3484579
Chr1	3489310	3491991
Chr1	3493219	3496598
Chr1	3501094	3504833
Chr1	3505665	3510531
Chr1	3511835	3515902
Chr1	3516658	3519175
Chr1	3520778	3521976
Chr1	3532859	3533749
Chr1	3536083	3536467
Chr1	3540841	3541272
Chr1	3551044	3553146
Chr1	3559732	3574280
Chr1	3577466	3581859
Chr1	3587608	3587838
Chr1	3591811	3596154
Chr1	3598418	3602211
Chr1	3610392	3615764
Chr1	3616498	3619216
Chr1	3621211	3625356
Chr1	3633275	3639164
Chr1	3645587	3650362
Chr1	3652273	3656479
Chr1	3661688	3664319
Chr1	3665042	3666046
Chr1	3667439	3673065
Chr1	3676303	3680660
Chr1	3682143	3682364
Chr1	3682943	3687407
Chr1	3689940	3692705
Chr1	3694855	3695301
Chr1	3696142	3699805
Chr1	3702448	3704723
Chr1	3705420	3709016
Chr1	3711212	3713653
Chr1	3713687	3718637
Chr1	3720115	3723166
Chr1	3724314	3729284
Chr1	3732150	3733930
Chr1	3735829	3736828
Chr1	3737893	3740685
Chr1	3737903	3742067
Chr1	3742694	3744539
Chr1	3748865	3752620
Chr1	3779634	3782004
Chr1	3804528	3811030
Chr1	3811149	3812069
Chr1	3818046	3818774
Chr1	3819067	3819782
Chr1	3820168	3824523
Chr1	3827039	3830347
Chr1	3830492	3831846
Chr1	3835129	3838211
Chr1	3842753	3845541
Chr1	3846181	3850245
Chr1	3855046	3856060
Chr1	3858824	3861839
Chr1	3864260	3868543
Chr1	3870734	3874321
Chr1	3875761	3878459
Chr1	3878069	3900085
Chr1	3901384	3901836
Chr1	3905249	3907429
Chr1	3917918	3920458
Chr1	3921356	3923134
Chr1	3924363	3926556
Chr1	3927450	3929447
Chr1	3932329	3933352
Chr1	3937749	3938912
Chr1	3939131	3942405
Chr1	3953039	3955491
Chr1	3958210	3962125
Chr1	3962465	3963568
Chr1	3975902	3984922
Chr1	3986612	3995398
Chr1	4003659	4004946
Chr1	4023146	4023442
Chr1	4033751	4037473
Chr1	4051856	4057690
Chr1	4059510	4063190
Chr1	4063704	4066374
Chr1	4066623	4067218
Chr1	4068617	4070372
Chr1	4073676	4076438
Chr1	4081316	4082680
Chr1	4091068	4094859
Chr1	4095856	4096249
Chr1	4099383	4101882
Chr1	4106828	4108541
Chr1	4110380	4112127
Chr1	4116451	4116943
Chr1	4118041	4122579
Chr1	4123420	4126379
Chr1	4133703	4140633
Chr1	4143351	4150414
Chr1	4152864	4154680
Chr1	4160946	4165165
Chr1	4167511	4171559
Chr1	4175051	4177259
Chr1	4179159	4181434
Chr1	4196937	4198833
Chr1	4208553	4213302
Chr1	4215032	4217547
Chr1	4234514	4244531
Chr1	4245417	4249851
Chr1	4253838	4259626
Chr1	4264247	4270356
Chr1	4272797	4276333
Chr1	4278871	4279113
Chr1	4281714	4283625
Chr1	4284626	4288083
Chr1	4291014	4291325
Chr1	4297867	4302381
Chr1	4306882	4309963
Chr1	4313645	4315834
Chr1	4317974	4318780
Chr1	4322727	4326342
Chr1	4326578	4328863
Chr1	4329152	4338486
Chr1	4340849	4356468
Chr1	4363128	4366827
Chr1	4368738	4369265
Chr1	4374129	4394083
Chr1	4395154	4397000
Chr1	4397652	4402081
Chr1	4402620	4407292
Chr1	4415416	4416132
Chr1	4417283	4419160
Chr1	4421318	4423107
Chr1	4423892	4426884
Chr1	4431532	4433679
Chr1	4434089	4437971
Chr1	4440901	4441368
Chr1	4444670	4448386
Chr1	4449032	4449876
Chr1	4453717	4454004
Chr1	4454755	4457084
Chr1	4459084	4484478
Chr1	4485747	4490158
Chr1	4491056	4491481
Chr1	4493365	4495153
Chr1	4494598	4497627
Chr1	4497719	4504407
Chr1	4504620	4505211
Chr1	4509225	4513098
Chr1	4514298	4520613
Chr1	4527986	4532893
Chr1	4534021	4540216
Chr1	4542296	4546560
Chr1	4566304	4568617
Chr1	4571784	4572218
Chr1	4572448	4573409
Chr1	4581148	4584690
Chr1	4587086	4587835
Chr1	4590920	4591372
Chr1	4596060	4596812
Chr1	4614882	4615827
Chr1	4621677	4631365
Chr1	4650095	4651961
Chr1	4673400	4684865
Chr1	4688108	4693114
Chr1	4697314	4699792
Chr1	4713523	4713924
Chr1	4714468	4718746
Chr1	4726659	4731243
Chr1	4732052	4733048
Chr1	4734012	4737606
Chr1	4738905	4744591
Chr1	4747121	4748910
Chr1	4753606	4756578
Chr1	4758725	4758988
Chr1	4759946	4760712
Chr1	4761304	4767339
Chr1	4768735	4782706
Chr1	4791837	4795348
Chr1	4796155	4798479
Chr1	4800247	4802179
Chr1	4807985	4808500
Chr1	4816845	4818962
Chr1	4820104	4823129
Chr1	4826590	4828735
Chr1	4837004	4838215
Chr1	4849901	4852193
Chr1	4852430	4854566
Chr1	4872119	4873806
Chr1	4879207	4885949
Chr1	4891516	4896876
Chr1	4905501	4909514
Chr1	4909890	4914370
Chr1	4917884	4919224
Chr1	4938911	4941835
Chr1	4949047	4951126
Chr1	4971171	4973555
Chr1	4976091	4976585
Chr1	4979098	4980028
Chr1	4980670	4981944
Chr1	4982142	4985143
Chr1	4987704	4988201
Chr1	4991513	4993868
Chr1	5002118	5005727
Chr1	5010048	5012395
Chr1	5014609	5015256
Chr1	5016279	5018652
Chr1	5017893	5020150
Chr1	5021088	5025720
Chr1	5028289	5037189
Chr1	5037238	5040698
Chr1	5052993	5055753
Chr1	5060416	5065236
Chr1	5073416	5074930
Chr1	5085833	5086559
Chr1	5099501	5105923
Chr1	5109949	5117013
Chr1	5128149	5128667
Chr1	5131471	5132918
Chr1	5138463	5140925
Chr1	5148694	5150648
Chr1	5163291	5168424
Chr1	5171227	5171814
Chr1	5173555	5174272
Chr1	5190927	5191415
Chr1	5195718	5196952
Chr1	5201862	5204046
Chr1	5210468	5213292
Chr1	5213932	5216703
Chr1	5218542	5220398
Chr1	5227044	5229966
Chr1	5236623	5244520
Chr1	5246503	5251192
Chr1	5251888	5253124
Chr1	5256634	5257326
Chr1	5258256	5261017
Chr1	5261189	5262898
Chr1	5263422	5266102
Chr1	5270103	5275678
Chr1	5288135	5293325
Chr1	5307412	5318623
Chr1	5328818	5335518
Chr1	5336704	5337330
Chr1	5339444	5339729
Chr1	5352369	5353612
Chr1	5361440	5362677
Chr1	5369402	5369891
Chr1	5373582	5374794
Chr1	5384196	5385088
Chr1	5386995	5388128
Chr1	5389733	5394414
Chr1	5401401	5402015
Chr1	5403302	5404567
Chr1	5406007	5412769
Chr1	5413599	5416935
Chr1	5417184	5418745
Chr1	5424059	5424571
Chr1	5426518	5430614
Chr1	5435443	5442651
Chr1	5442857	5446266
Chr1	5454554	5455691
Chr1	5470119	5473013
Chr1	5478476	5479836
Chr1	5490623	5491360
Chr1	5493186	5499451
Chr1	5507002	5509548
Chr1	5510516	5514480
Chr1	5530497	5533609
Chr1	5540629	5541520
Chr1	5543648	5544544
Chr1	5549619	5551003
Chr1	5559548	5568844
Chr1	5578753	5585267
Chr1	5591697	5599234
Chr1	5600028	5600869
Chr1	5639769	5641495
Chr1	5652593	5655352
Chr1	5663323	5668903
Chr1	5668988	5671470
Chr1	5675585	5679551
Chr1	5685594	5686401
Chr1	5689889	5690347
Chr1	5693664	5693990
Chr1	5695273	5695584
Chr1	5699651	5707758
Chr1	5718883	5724184
Chr1	5727326	5729756
Chr1	5731783	5734320
Chr1	5748869	5749270
Chr1	5750067	5750435
Chr1	5750703	5751035
Chr1	5757491	5758607
Chr1	5759818	5760234
Chr1	5760481	5764641
Chr1	5764652	5767959
Chr1	5768209	5769462
Chr1	5770150	5772034
Chr1	5773300	5774192
Chr1	5774281	5778466
Chr1	5789309	5791121
Chr1	5794747	5797674
Chr1	5799607	5801142
Chr1	5808045	5808340
Chr1	5809557	5811617
Chr1	5814778	5819207
Chr1	5823869	5828251
Chr1	5828553	5830832
Chr1	5833613	5834107
Chr1	5837475	5839898
Chr1	5841736	5843574
Chr1	5844702	5848945
Chr1	5856467	5857920
Chr1	5861816	5863794
Chr1	5865389	5869482
Chr1	5875786	5877849
Chr1	5884006	5884572
Chr1	5890605	5898224
Chr1	5899555	5909595
Chr1	5911503	5916819
Chr1	5918163	5919212
Chr1	5921759	5934186
Chr1	5934573	5939527
Chr1	5945633	5954387
Chr1	5968819	5972489
Chr1	5983581	5985875
Chr1	5990953	5991834
Chr1	5994786	5995455
Chr1	6000333	6002858
Chr1	6003524	6004869
Chr1	6004879	6007163
Chr1	6007818	6009027
Chr1	6010736	6011894
Chr1	6017742	6022156
Chr1	6025074	6029649
Chr1	6031025	6032833
Chr1	6037423	6039070
Chr1	6057440	6059109
Chr1	6076688	6078711
Chr1	6094692	6096528
Chr1	6108958	6111317
Chr1	6112801	6125531
Chr1	6129330	6129737
Chr1	6132290	6132533
Chr1	6134202	6139189
Chr1	6139582	6142129
Chr1	6171722	6173186
Chr1	6182163	6182516
Chr1	6183125	6183625
Chr1	6185622	6186317
Chr1	6188518	6189219
Chr1	6191931	6193745
Chr1	6199158	6200399
Chr1	6221636	6224329
Chr1	6242495	6244969
Chr1	6247411	6253398
Chr1	6253721	6257198
Chr1	6257915	6258264
Chr1	6267440	6270903
Chr1	6277478	6277714
Chr1	6278493	6283652
Chr1	6288365	6292303
Chr1	6295991	6297676
Chr1	6303562	6303822
Chr1	6304802	6306608
Chr1	6311934	6313649
Chr1	6319130	6322474
Chr1	6340836	6344345
Chr1	6352582	6358359
Chr1	6361526	6363457
Chr1	6365028	6367159
Chr1	6368038	6368517
Chr1	6369419	6370066
Chr1	6377261	6382037
Chr1	6387691	6391467
Chr1	6394268	6395667
Chr1	6396150	6397294
Chr1	6400890	6402066
Chr1	6402993	6410872
Chr1	6412786	6419895
Chr1	6425100	6428266
Chr1	6432336	6436086
Chr1	6444319	6456076
Chr1	6462706	6465037
Chr1	6494516	6499769
Chr1	6500706	6507149
Chr1	6507356	6514891
Chr1	6518127	6521046
Chr1	6523637	6524620
Chr1	6525486	6528272
Chr1	6528797	6531845
Chr1	6534609	6535837
Chr1	6537654	6537896
Chr1	6541005	6543076
Chr1	6541971	6544461
Chr1	6558931	6559377
Chr1	6564673	6568151
Chr1	6572023	6577171
Chr1	6583822	6586889
Chr1	6587146	6587940
Chr1	6590899	6592136
Chr1	6606521	6607239
Chr1	6612343	6613905
Chr1	6615403	6615768
Chr1	6616732	6618823
Chr1	6624963	6630463
Chr1	6642665	6645196
Chr1	6649789	6650522
Chr1	6653077	6655383
Chr1	6659149	6662582
Chr1	6663533	6665460
Chr1	6667854	6670442
Chr1	6689709	6693866
Chr1	6694004	6696795
Chr1	6699462	6703371
Chr1	6704403	6704666
Chr1	6706087	6710801
Chr1	6711815	6714142
Chr1	6718349	6719948
Chr1	6722205	6722600
Chr1	6724939	6728626
Chr1	6732152	6735486
Chr1	6735758	6746298
Chr1	6758675	6760456
Chr1	6764450	6765888
Chr1	6766497	6770164
Chr1	6774200	6777805
Chr1	6781919	6784207
Chr1	6787075	6789731
Chr1	6790657	6793346
Chr1	6813714	6815546
Chr1	6830104	6832770
Chr1	6833050	6835300
Chr1	6837120	6841269
Chr1	6841526	6843538
Chr1	6857032	6860962
Chr1	6863321	6863747
Chr1	6875888	6876100
Chr1	6879905	6881968
Chr1	6889351	6896414
Chr1	6897557	6904259
Chr1	6904506	6909594
Chr1	6909691	6912131
Chr1	6912704	6915127
Chr1	6922082	6923336
Chr1	6940383	6940772
Chr1	6957017	6958745
Chr1	6967620	6970164
Chr1	6970861	6976710
Chr1	6979613	6985778
Chr1	6987901	6994006
Chr1	7009033	7010505
Chr1	7015131	7018379
Chr1	7024297	7030610
Chr1	7038103	7042925
Chr1	7043932	7047559
Chr1	7048273	7050877
Chr1	7053100	7056375
Chr1	7061344	7065249
Chr1	7071481	7073789
Chr1	7076271	7076777
Chr1	7079900	7085596
Chr1	7085842	7089194
Chr1	7092032	7095355
Chr1	7095374	7097654
Chr1	7100013	7103266
Chr1	7104273	7109141
Chr1	7111153	7111440
Chr1	7115771	7124102
Chr1	7125360	7128912
Chr1	7129149	7137330
Chr1	7157780	7164385
Chr1	7164594	7167419
Chr1	7173618	7175813
Chr1	7176107	7177066
Chr1	7177355	7183963
Chr1	7185483	7188038
Chr1	7197022	7214143
Chr1	7215369	7215995
Chr1	7216513	7225223
Chr1	7236012	7236450
Chr1	7239721	7240957
Chr1	7244980	7246003
Chr1	7249761	7254629
Chr1	7259786	7260671
Chr1	7263022	7263843
Chr1	7265228	7273237
Chr1	7276019	7277972
Chr1	7278720	7280250
Chr1	7281734	7285992
Chr1	7287907	7294276
Chr1	7297672	7298971
Chr1	7302368	7303788
Chr1	7307881	7309906
Chr1	7325145	7332536
Chr1	7333691	7339244
Chr1	7340717	7345465
Chr1	7345590	7346978
Chr1	7348563	7352146
Chr1	7352175	7357620
Chr1	7363643	7366111
Chr1	7369672	7374369
Chr1	7385895	7388164
Chr1	7389342	7393708
Chr1	7400509	7404312
Chr1	7404888	7409640
Chr1	7414865	7415354
Chr1	7417303	7422624
Chr1	7424284	7427642
Chr1	7429384	7431486
Chr1	7431934	7433002
Chr1	7437894	7439704
Chr1	7437788	7443252
Chr1	7443685	7447196
Chr1	7450837	7453683
Chr1	7455656	7456090
Chr1	7457835	7459959
Chr1	7460348	7465534
Chr1	7470710	7472743
Chr1	7477641	7482824
Chr1	7484910	7485733
Chr1	7489233	7489949
Chr1	7495057	7498391
Chr1	7506213	7511768
Chr1	7517210	7518741
Chr1	7519617	7524433
Chr1	7528649	7530136
Chr1	7543671	7544510
Chr1	7546885	7551996
Chr1	7557172	7560626
Chr1	7571236	7576817
Chr1	7578091	7582923
Chr1	7588191	7589633
Chr1	7590399	7592760
Chr1	7602829	7603348
Chr1	7605362	7606545
Chr1	7619080	7624561
Chr1	7652869	7656854
Chr1	7657718	7658062
Chr1	7661046	7661285
Chr1	7665101	7668163
Chr1	7670066	7672762
Chr1	7672983	7676403
Chr1	7677147	7678869
Chr1	7679030	7685923
Chr1	7686884	7693987
Chr1	7712339	7721253
Chr1	7718189	7722451
Chr1	7724283	7725533
Chr1	7739074	7742914
Chr1	7744243	7747746
Chr1	7755841	7760520
Chr1	7764433	7766034
Chr1	7767025	7767753
Chr1	7771960	7774282
Chr1	7776045	7777328
Chr1	7780251	7781054
Chr1	7792032	7794446
Chr1	7796268	7796690
Chr1	7804166	7805842
Chr1	7806630	7810972
Chr1	7817704	7818394
Chr1	7823251	7827552
Chr1	7844348	7844658
Chr1	7847742	7850177
Chr1	7852645	7855833
Chr1	7856373	7857612
Chr1	7857826	7860061
Chr1	7862001	7867812
Chr1	7870790	7872213
Chr1	7876233	7878802
Chr1	7879931	7882632
Chr1	7891541	7894725
Chr1	7894959	7900874
Chr1	7903813	7904466
Chr1	7924395	7924787
Chr1	7926594	7927559
Chr1	7928083	7929764
Chr1	7940376	7943760
Chr1	7945214	7946972
Chr1	7953423	7964300
Chr1	7969862	7970755
Chr1	7971864	7974941
Chr1	7980642	7981577
