title	year	length	budget	rating	votes	mpaa	genre
Matrix Reloaded, The	2003	138	127	7.1	57225	R	Action
Speed	1994	116	28	7.1	32979	R	Action
Superman	1978	151	55	7.1	17327	PG	Action
Troy	2004	162	185	7.1	33979	R	Action Drama
We Were Soldiers	2002	143	75	7.1	14939	R	Action Drama
Austin Powers: International Man of Mystery	1997	94	17	7	33755	PG-13	Action Comedy
Die Hard: With a Vengeance	1995	131	90	7	25258	R	Action
Elf	2003	95	33	7	10165	PG	Comedy
Final Solution	2001	110	1.5	7	32	R	Action Drama
I Heart Huckabees	2004	106	22	7	7262	R	Comedy
I, Robot	2004	115	105	7	22330	PG-13	Action
Jake's Booty Call	2003	77	0.05	7	10	R	Comedy
Kingdom of Heaven	2005	145	130	7	6498	R	Action Drama
Meet the Parents	2000	108	55	7	30804	PG-13	Comedy
Mighty Aphrodite	1995	95	15	7	7083	R	Comedy
Rock, The	1996	136	75	7	46184	R	Action Drama
Ronin	1998	121	55	7	21982	R	Action
Spy Game	2001	126	92	7	16736	R	Action Drama
Star Wars: Episode II - Attack of the Clones	2002	120	120	7	63889	PG	Action
Wag the Dog	1997	97	15	7	16434	R	Comedy
Zero Effect	1998	116	5	7	4820	R	Comedy
Hitchhiker's Guide to the Galaxy, The	2005	110	50	6.9	7644	PG	Comedy
Italian Job, The	2003	111	60	6.9	18496	PG-13	Action
Jay and Silent Bob Strike Back	2001	104	22	6.9	24211	R	Comedy
Saints and Soldiers	2003	90	0.78	6.9	689	PG-13	Action Drama
Strange Days	1995	145	42	6.9	11869	R	Action Drama
Terminator 3: Rise of the Machines	2003	109	175	6.9	32111	R	Action
American Pie	1999	95	11	6.8	41126	R	Comedy
Blade	1998	110	45	6.8	24372	R	Action
Desperado	1995	106	7	6.8	17929	R	Action
From Dusk Till Dawn	1996	108	20	6.8	28473	R	Action Comedy
GoldenEye	1995	130	80	6.8	22991	PG-13	Action
Happy Gilmore	1996	92	10	6.8	17746	PG-13	Comedy
Mask of Zorro, The	1998	136	65	6.8	18220	PG-13	Action Comedy
Men in Black	1997	98	90	6.8	53231	PG-13	Action Comedy
Mute Witness	1994	95	2	6.8	1202	R	Comedy
Patriot, The	2000	164	110	6.8	29665	R	Action Drama
Rob Roy	1995	133	28	6.8	6652	R	Action Drama
Rosewood	1997	140	31	6.8	1840	R	Action Drama
Stripes	1981	106	10	6.8	7406	R	Comedy
Breakdown	1997	95	36	6.7	7099	R	Action
Courage Under Fire	1996	117	46	6.7	8884	R	Action Drama
Hellboy	2004	132	66	6.7	15565	PG-13	Action
Hit and Runway	1999	108	1.2	6.7	189	R	Comedy
Jing cha gu shi III: Chao ji jing cha	1992	95	0.9	6.7	2024	R	Action Comedy
Lemony Snicket's A Series of Unfortunate Events	2004	108	125	6.7	8402	PG	Comedy
Old School	2003	92	24	6.7	14283	R	Comedy
Romeo + Juliet	1996	120	14.5	6.7	22306	PG-13	Action Drama
Rush Hour	1998	93	35	6.7	18336	PG-13	Action Comedy
Shanghai Noon	2000	110	55	6.7	12258	PG-13	Action Comedy
Starship Troopers	1997	129	95	6.7	32618	R	Action
X Files, The	1998	121	66	6.7	18314	PG-13	Action
Analyze This	1999	109	30	6.6	24521	R	Comedy
Blade II	2002	108	55	6.6	17139	R	Action
Dark Blue	2002	118	15	6.6	3882	R	Action Drama
Dodgeball: A True Underdog Story	2004	92	20	6.6	14584	PG-13	Comedy
Dumb & Dumber	1994	101	16	6.6	27713	PG-13	Comedy
Hidalgo	2004	136	78	6.6	7328	PG-13	Action Drama
Kingpin	1996	117	25	6.6	10643	PG-13	Comedy
Mission: Impossible	1996	110	75	6.6	33496	PG-13	Action
National Treasure	2004	131	100	6.6	12361	PG	Action
Ransom	1996	139	80	6.6	17678	R	Action Drama
Sum of All Fears, The	2002	123	68	6.6	15835	PG-13	Action Drama
Swiri	1999	125	5	6.6	1704	R	Action
Anchorman: The Legend of Ron Burgundy	2004	104	26	6.5	11553	PG-13	Comedy
Austin Powers: The Spy Who Shagged Me	1999	95	33	6.5	37019	PG-13	Action Comedy
Hong faan kui	1996	91	7.5	6.5	4644	R	Action Comedy
Knight's Tale, A	2001	132	41	6.5	15006	PG-13	Action Comedy
Liar Liar	1997	86	45	6.5	22969	PG-13	Comedy
Long Kiss Goodnight, The	1996	120	65	6.5	12516	R	Action Drama
Meet the Fockers	2004	115	80	6.5	11950	PG-13	Comedy
Mummy, The	1999	124	76	6.5	36216	PG-13	Action Comedy
Paint Your Wagon	1969	158	20	6.5	2011	PG-13	Comedy
Rat Race	2001	112	48	6.5	13913	PG-13	Comedy
Rundown, The	2003	104	85	6.5	8067	PG-13	Action Comedy
Rush Hour 2	2001	86	90	6.5	16581	PG-13	Action Comedy
Sky Captain and the World of Tomorrow	2004	106	40	6.5	12579	PG	Action
Star Trek: Nemesis	2002	116	70	6.5	11785	PG-13	Action Drama
U-571	2000	116	62	6.5	15792	PG-13	Action Drama
Bad Boys	1995	118	23	6.4	15326	R	Action Comedy
Big Trouble	2002	85	40	6.4	4088	PG-13	Comedy
Bowfinger	1999	97	55	6.4	15000	PG-13	Comedy
Cellular	2004	94	25	6.4	6182	PG-13	Action
Die Another Day	2002	133	142	6.4	22136	PG-13	Action
Drive	1997	117	3.5	6.4	1086	R	Action Comedy
Ghost and the Darkness, The	1996	109	55	6.4	8360	R	Action Drama
Happy, Texas	1999	98	1.7	6.4	3453	PG-13	Comedy
Incident at Loch Ness	2004	94	1.4	6.4	251	PG-13	Comedy
Ladykillers, The	2004	104	35	6.4	10580	R	Comedy
Last Castle, The	2001	131	60	6.4	7233	R	Action Drama
Legally Blonde	2001	96	18	6.4	17572	PG-13	Comedy
Pecker	1998	87	6	6.4	4013	R	Comedy
Star Wars: Episode I - The Phantom Menace	1999	133	115	6.4	84488	PG	Action
Tomorrow Never Dies	1997	119	110	6.4	19397	PG-13	Action
Air Force One	1997	124	85	6.3	26156	R	Action Drama
American Pie 2	2001	105	30	6.3	22752	R	Comedy
American Wedding	2003	103	55	6.3	13590	R	Comedy
Assault on Precinct 13	2005	109	20	6.3	2960	R	Action Drama
Badge, The	2002	103	6	6.3	740	R	Action Drama
Crime Spree	2003	98	10	6.3	953	R	Comedy
Day After Tomorrow, The	2004	124	125	6.3	23749	PG-13	Action Drama
Dead Presidents	1995	119	15	6.3	2641	R	Action Drama
Death to Smoochy	2002	109	55	6.3	8003	R	Comedy
Defender, The	2004	90	6	6.3	58	R	Action
Dick	1999	94	13	6.3	5004	PG-13	Comedy
Feng yun xiong ba tian xia	1998	85	10	6.3	922	PG-13	Action
Lethal Weapon 4	1998	127	140	6.3	17758	R	Action Comedy
Love Object	2003	88	1	6.3	427	R	Comedy
Lucky Break	2001	108	6	6.3	707	PG-13	Comedy
Matrix Revolutions, The	2003	125	110	6.3	40058	R	Action
Mindhunters	2004	102	27	6.3	3925	R	Action
Muertos de risa	1999	111	3.5	6.3	334	R	Comedy
My Fellow Americans	1996	101	21.5	6.3	2752	PG-13	Comedy
Nochnoy dozor	2004	115	4.2	6.3	1020	R	Action
Proof of Life	2000	135	65	6.3	9592	R	Action Drama
Road Trip	2000	94	15.6	6.3	15981	R	Comedy
Serial Mom	1994	95	13	6.3	4750	R	Comedy
Shanghai Knights	2003	114	50	6.3	7279	PG-13	Action Comedy
Smilla's Sense of Snow	1997	120	35	6.3	3722	R	Action Drama
Star Trek: Insurrection	1998	103	58	6.3	13395	PG	Action Drama
Starsky & Hutch	2004	101	60	6.3	13529	PG-13	Action Comedy
Super Troopers	2001	100	3	6.3	7728	R	Comedy
World Is Not Enough, The	1999	128	135	6.3	24205	PG-13	Action
Ace Ventura: Pet Detective	1994	86	12	6.2	20705	PG-13	Comedy
Austin Powers in Goldmember	2002	94	63	6.2	22870	PG-13	Action Comedy
Chronicles of Riddick, The	2004	135	110	6.2	11438	PG-13	Action
Edtv	1999	122	60	6.2	10085	PG-13	Comedy
High Strung	1991	93	0.3	6.2	391	PG	Comedy
In & Out	1997	92	35	6.2	10352	PG-13	Comedy
Just Looking	1999	97	3	6.2	436	R	Comedy
Kiss of the Dragon	2001	98	25	6.2	7887	R	Action Drama
Miss Congeniality	2000	109	45	6.2	16235	PG-13	Comedy
Perfect Storm, The	2000	130	120	6.2	24946	PG-13	Action Drama
Punisher, The	2004	124	33	6.2	9989	R	Action
Replacements, The	2000	114	50	6.2	7617	PG-13	Comedy
Resident Evil	2002	100	35	6.2	18978	R	Action
Six-String Samurai	1998	91	2	6.2	1163	PG-13	Action
Snitch	1998	90	11	6.2	412	R	Action Drama
Stark Raving Mad	2002	102	5	6.2	601	R	Comedy
Swordfish	2001	99	80	6.2	20455	R	Action
Tears of the Sun	2003	121	70	6.2	8690	R	Action Drama
Where's Marlowe?	1998	97	3.5	6.2	188	R	Comedy
13th Warrior, The	1999	102	85	6.1	14344	R	Action
51st State, The	2001	92	28	6.1	6752	R	Action Comedy
Bad Boys II	2003	145	130	6.1	13087	R	Action Comedy
Behind Enemy Lines	2001	106	40	6.1	10856	PG-13	Action Drama
Beyond Re-Animator	2003	96	3	6.1	908	R	Comedy
Big Tease, The	1999	86	4	6.1	670	R	Comedy
Bring It On	2000	98	10	6.1	11784	PG-13	Comedy
Celebrity	1998	113	12	6.1	4820	R	Comedy
Chain of Fools	2000	96	20	6.1	845	R	Comedy
EuroTrip	2004	90	25	6.1	8390	R	Comedy
Everlasting Piece, An	2000	103	14	6.1	475	R	Comedy
Freddy Vs. Jason	2003	97	25	6.1	11109	R	Action
Hulk	2003	138	120	6.1	20710	PG-13	Action Drama
Independence Day	1996	153	75	6.1	61831	PG-13	Action
Mars Attacks!	1996	106	70	6.1	27363	PG-13	Action Comedy
Montana	1998	92	4	6.1	417	R	Action Drama
Mummy Returns, The	2001	130	98	6.1	23551	PG-13	Action
Paycheck	2003	119	60	6.1	10383	PG-13	Action
Safe Men	1998	88	1	6.1	590	R	Comedy
Set It Off	1996	123	9	6.1	1619	R	Action Drama
Switchback	1997	118	38	6.1	2195	R	Action
U.S. Marshals	1998	131	60	6.1	10315	PG-13	Action Drama
Welcome to Collinwood	2002	86	12	6.1	2831	R	Comedy
Zoolander	2001	89	28	6.1	18277	PG-13	Comedy
After the Sunset	2004	97	58	6	3431	PG-13	Action Comedy
Alien: Resurrection	1997	116	70	6	24358	R	Action
Anger Management	2003	106	75	6	14280	PG-13	Comedy
Cecil B. DeMented	2000	87	10	6	3464	R	Comedy
D.E.B.S.	2004	91	3.5	6	300	PG-13	Action Comedy
Detroit Rock City	1999	95	15	6	4607	R	Comedy
Down and Out with the Dolls	2001	88	1.2	6	37	R	Comedy
Empire	2002	90	3.5	6	1718	R	Action Drama
Flight of the Phoenix	2004	113	45	6	2732	PG-13	Action
Jumanji	1995	104	65	6	14874	PG	Action Comedy
King Arthur	2004	140	90	6	14272	R	Action Drama
Man in the Iron Mask, The	1998	132	35	6	11127	PG-13	Action Drama
Me, Myself & Irene	2000	116	51	6	21305	R	Comedy
Ocean's Twelve	2004	125	110	6	14797	PG-13	Comedy
Once Upon a Time in Mexico	2003	102	29	6	14732	R	Action
Queen's Messenger II	2001	90	4	6	27	R	Action
Shaft	2000	99	46	6	13742	R	Action
Stuart Little	1999	81	103	6	8009	PG	Comedy
Undercover Brother	2002	85	25	6	5138	PG-13	Action Comedy
6th Day, The	2000	123	82	5.9	12064	PG-13	Action
Alamo, The	2004	137	95	5.9	3060	PG-13	Action Drama
Bedazzled	2000	93	48	5.9	11439	PG-13	Comedy
Big Daddy	1999	93	34.2	5.9	18258	PG-13	Comedy
Dirty Work	1998	82	13	5.9	4252	PG-13	Comedy
Peacemaker, The	1997	124	50	5.9	8994	R	Action
S.W.A.T.	2003	117	80	5.9	12732	PG-13	Action
Siege, The	1998	116	70	5.9	9725	R	Action Drama
Stuart Little 2	2002	82	120	5.9	2324	PG	Comedy
Texas Chainsaw Massacre, The	2003	98	9.2	5.9	9587	R	Action
Twister	1996	113	92	5.9	28315	PG-13	Action Drama
Walking Tall	2004	87	56	5.9	4839	PG-13	Action Drama
Windtalkers	2002	153	115	5.9	9081	R	Action Drama
Charlie's Angels	2000	94	92	5.8	25705	PG-13	Action Comedy
Eraser	1996	115	100	5.8	14641	R	Action Drama
Evolution	2001	101	80	5.8	14232	PG-13	Comedy
Impostor	2002	102	40	5.8	3292	R	Action Drama
Mousehunt	1997	99	38	5.8	4637	PG	Action Comedy
Mystery Men	1999	121	68	5.8	13331	PG-13	Action Comedy
Reign of Fire	2002	101	95	5.8	11452	PG-13	Action
Replacement Killers, The	1998	87	30	5.8	6825	R	Action
Romeo Must Die	2000	115	25	5.8	10229	R	Action Drama
Sahara	2005	124	130	5.8	3004	PG-13	Action Comedy
Small Soldiers	1998	110	40	5.8	6938	PG-13	Action Comedy
Spy Kids 2: Island of Lost Dreams	2002	99	39	5.8	3175	PG	Action Comedy
Sugar Town	1999	92	0.25	5.8	307	R	Comedy
Triggermen	2002	96	12	5.8	317	R	Comedy
Van Wilder	2002	94	6	5.8	7799	R	Comedy
Very Bad Things	1998	100	10	5.8	10001	R	Comedy
Armageddon	1998	153	140	5.7	45330	PG-13	Action
Around the World in 80 Days	2004	120	110	5.7	3887	PG	Action Comedy
Assassins	1995	132	50	5.7	7354	R	Action
Barbershop 2: Back in Business	2004	106	18	5.7	1580	PG-13	Comedy
Big Hit, The	1998	91	13	5.7	6206	R	Action Comedy
Blade: Trinity	2004	124	65	5.7	7439	R	Action
Broken Arrow	1996	108	65	5.7	14415	R	Action
Daddy Day Care	2003	92	60	5.7	3803	PG	Comedy
Daredevil	2003	133	75	5.7	20642	R	Action
Devil's Own, The	1997	111	80	5.7	8485	R	Action Drama
Duplex	2003	89	40	5.7	4334	PG-13	Comedy
Fast and the Furious, The	2001	106	38	5.7	21428	PG-13	Action
Gods and Generals	2003	209	56	5.7	3002	PG-13	Action Drama
Gone in Sixty Seconds	2000	117	90	5.7	25400	PG-13	Action
Hollywood North	2003	89	7	5.7	114	R	Comedy
Last Man Standing	1996	101	67	5.7	6751	R	Action Drama
Mission: Impossible II	2000	123	125	5.7	35958	PG-13	Action
Multiplicity	1996	117	45	5.7	5241	PG-13	Comedy
Newton Boys, The	1998	113	27	5.7	2003	PG-13	Action Drama
Saint, The	1997	116	70	5.7	12591	PG-13	Action
Taxman, The	1999	104	1	5.7	169	R	Action Comedy
100 Mile Rule	2002	98	1.1	5.6	181	R	Comedy
24 Hour Woman, The	1999	93	2.5	5.6	149	R	Comedy
Bait	2000	119	35	5.6	1884	R	Action Comedy
Borrowers, The	1997	89	29	5.6	1457	PG	Comedy
Brady Bunch Movie, The	1995	90	12	5.6	4636	PG-13	Comedy
Bringing Down the House	2003	105	35	5.6	6501	PG-13	Comedy
Casper	1995	100	55	5.6	8798	PG	Comedy
Dante's Peak	1997	104	104	5.6	9203	PG-13	Action Drama
Deuce Bigalow: Male Gigolo	1999	88	18	5.6	9897	R	Comedy
Faithful	1996	91	13	5.6	414	R	Comedy
Father of the Bride Part II	1995	106	30	5.6	4089	PG	Comedy
Gojira ni-sen mireniamu	1999	99	1	5.6	1150	PG	Action
Grave, The	1996	90	4	5.6	303	R	Comedy
Johnny English	2003	87	35	5.6	8125	PG	Action Comedy
Jurassic Park III	2001	92	93	5.6	20690	PG-13	Action
Little Vampire, The	2000	91	22	5.6	601	PG	Comedy
Men in Black II	2002	88	140	5.6	21580	PG-13	Action Comedy
Mercury Rising	1998	108	60	5.6	8202	R	Action Drama
Muse, The	1999	97	15	5.6	3513	PG-13	Comedy
Net, The	1995	114	22	5.6	12201	PG-13	Action Drama
Planet of the Apes	2001	119	100	5.6	28601	PG-13	Action
Repli-Kate	2002	121	4	5.6	791	R	Comedy
Resident Evil: Apocalypse	2004	94	50	5.6	10486	R	Action
Terror Tract	2000	96	11	5.6	281	R	Comedy
Undisputed	2002	96	20	5.6	1769	R	Action Drama
Vampires	1998	106	20	5.6	7908	R	Action
Vertical Limit	2000	124	75	5.6	10273	PG-13	Action
What Planet Are You From?	2000	104	50	5.6	2574	R	Comedy
Agent Cody Banks	2003	102	26	5.5	2655	PG	Action Comedy
American Outlaws	2001	94	35	5.5	2878	PG-13	Action Comedy
Be Cool	2005	118	53	5.5	4560	PG-13	Comedy
Big Fat Liar	2002	88	15	5.5	2453	PG	Comedy
Curdled	1996	88	2.309723	5.5	959	R	Comedy
Deep Blue Sea	1999	105	78	5.5	17666	R	Action
Dickie Roberts: Former Child Star	2003	98	17	5.5	2076	PG-13	Comedy
Eight Legged Freaks	2002	99	30	5.5	6362	PG-13	Action Comedy
Escanaba in da Moonlight	2001	91	1	5.5	373	PG-13	Comedy
George of the Jungle	1997	92	55	5.5	6430	PG	Comedy
Hard Rain	1998	97	70	5.5	6161	R	Action Drama
Lost World: Jurassic Park, The	1997	129	73	5.5	28055	PG-13	Action
Money Talks	1997	97	25	5.5	2720	R	Action Comedy
Reindeer Games	2000	124	36	5.5	7120	R	Action Drama
Scary Movie	2000	88	19	5.5	23293	R	Comedy
Shakes the Clown	1992	87	1.4	5.5	838	R	Comedy
Showtime	2002	96	85	5.5	7689	PG-13	Action Comedy
Time Machine, The	2002	96	80	5.5	12424	PG-13	Action
Waterboy, The	1998	90	23	5.5	15539	PG-13	Comedy
xXx	2002	132	85	5.5	18514	PG-13	Action
3000 Miles to Graceland	2001	125	62	5.4	7298	R	Action Comedy
All About the Benjamins	2002	95	14	5.4	1250	R	Action Comedy
AVP: Alien Vs. Predator	2004	102	45	5.4	14651	PG-13	Action
Bad Company	2002	116	70	5.4	6175	PG-13	Action Comedy
Batman Forever	1995	122	100	5.4	24025	PG-13	Action
Bean	1997	90	22	5.4	9018	PG-13	Comedy
Cats & Dogs	2001	87	60	5.4	6487	PG	Comedy
Core, The	2003	135	74	5.4	7860	PG-13	Action Drama
Daylight	1996	110	80	5.4	6979	PG-13	Action Drama
Dead Man on Campus	1998	96	14	5.4	2829	R	Comedy
Deep Rising	1998	97	45	5.4	4626	R	Action
Doctor Dolittle	1998	85	71.5	5.4	8287	PG-13	Comedy
Drowning Mona	2000	95	16	5.4	3454	PG-13	Comedy
Idle Hands	1999	92	20	5.4	5892	R	Comedy
League of Extraordinary Gentlemen, The	2003	110	78	5.4	15647	PG-13	Action
Man Apart, A	2003	110	36	5.4	4231	R	Action Drama
Pearl Harbor	2001	184	135.25	5.4	33409	R	Action Drama
Sol Goode	2001	99	3	5.4	291	R	Comedy
Species	1995	108	35	5.4	8963	R	Action Drama
Trigger Effect, The	1996	94	8	5.4	1591	R	Action Drama
Van Helsing	2004	132	160	5.4	19787	PG-13	Action
Waterworld	1995	176	175	5.4	19325	PG-13	Action Drama
Without a Paddle	2004	95	19	5.4	3605	PG-13	Comedy
Blood, Guts, Bullets and Octane	1998	87	0.0073	5.3	285	R	Action Comedy
Cradle 2 the Grave	2003	101	25	5.3	4164	R	Action
Crew, The	2000	84	23	5.3	1297	PG-13	Comedy
Crocodile Hunter: Collision Course, The	2002	90	13	5.3	1648	PG	Comedy
Deuces Wild	2002	100	10	5.3	1511	R	Action Drama
Double Tap	1997	87	8	5.3	184	R	Action
End of Days	1999	121	83	5.3	18237	R	Action
Exit Wounds	2001	101	33	5.3	5370	R	Action
Hav Plenty	1997	84	0.65	5.3	256	R	Comedy
Hollywood Sign, The	2001	90	12	5.3	196	R	Comedy
I Spy	2002	97	70	5.3	5521	PG-13	Action Comedy
Love Stinks	1999	94	4	5.3	1311	R	Comedy
Max Keeble's Big Move	2001	86	12	5.3	587	PG	Comedy
R.M., The	2003	101	0.5	5.3	213	PG	Comedy
Red Planet	2000	106	75	5.3	8623	PG-13	Action
Scary Movie 3	2003	84	45	5.3	9225	PG-13	Comedy
Scorpion King, The	2002	92	60	5.3	10111	PG-13	Action
Sugar & Spice	2001	84	11	5.3	2901	PG-13	Comedy
Very Brady Sequel, A	1996	90	15	5.3	2183	PG-13	Comedy
Virtuosity	1995	106	30	5.3	4183	R	Action
Welcome to Mooseport	2004	117	26	5.3	2356	PG-13	Comedy
Bride of Chucky	1998	89	25	5.2	4449	R	Comedy
Bulletproof Monk	2003	104	52	5.2	5405	PG-13	Action Comedy
Climb, The	2002	98	2.5	5.2	83	PG	Action Drama
Club Dread	2004	119	9	5.2	3432	R	Comedy
Collateral Damage	2002	108	85	5.2	8590	R	Action
Elvira's Haunted Hills	2001	90	1.5	5.2	307	PG-13	Comedy
Hardware	1990	93	1.5	5.2	1323	R	Action
Hollywood Homicide	2003	116	75	5.2	5312	PG-13	Action Comedy
Josie and the Pussycats	2001	98	22	5.2	4508	PG-13	Comedy
Lake Placid	1999	82	27	5.2	7836	R	Action Comedy
Lara Croft Tomb Raider: The Cradle of Life	2003	117	90	5.2	9103	PG-13	Action
Lara Croft: Tomb Raider	2001	100	80	5.2	21861	PG-13	Action
Man of the House	2005	97	40	5.2	511	PG-13	Action Comedy
Metro	1997	117	55	5.2	3560	R	Action Comedy
New Guy, The	2002	89	13	5.2	4266	PG-13	Comedy
Next Friday	2000	98	9.5	5.2	3457	R	Comedy
Not Another Teen Movie	2001	89	16	5.2	10295	R	Comedy
Out Cold	2001	92	11	5.2	1990	PG-13	Comedy
Soldier	1998	98	75	5.2	5590	R	Action
Volcano	1997	104	90	5.2	8627	PG-13	Action Drama
Wedding Party, The	1969	92	0.043	5.2	94	R	Comedy
2 Fast 2 Furious	2003	107	76	5.1	9556	PG-13	Action
Chain Reaction	1996	106	55	5.1	5936	PG-13	Action Drama
Cutaway	2000	104	9	5.1	390	R	Action
Cutthroat Island	1995	119	92	5.1	3942	PG-13	Action
Dill Scallion	1999	91	0.5	5.1	136	PG-13	Comedy
Dr. Dolittle 2	2001	87	72	5.1	4920	PG	Comedy
Kung Pow: Enter the Fist	2002	82	10	5.1	5871	PG-13	Action Comedy
Money Train	1995	103	68	5.1	5081	R	Action Comedy
Riders	2002	83	15	5.1	922	R	Action
Seed of Chucky	2004	87	12	5.1	1342	R	Comedy
Sgt. Bilko	1996	93	39	5.1	3712	PG	Comedy
Snow Dogs	2002	99	35	5.1	2379	PG	Comedy
Sorority Boys	2002	93	12	5.1	2398	R	Comedy
Tales from the Hood	1995	98	6	5.1	548	R	Action
Thir13en Ghosts	2001	87	20	5.1	8292	R	Comedy
Tuxedo, The	2002	98	60	5.1	6070	PG-13	Action Comedy
